3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part2_wordlist_3gram
в русской сказке	5	2
власть над животными	2	3
после того как	2	2
на то что	2	3
мы имеем в	5	2
о том что	2	2
но все же	4	4
мы знаем что	10	7
в иной мир	4	6
в этих случаях	8	7
не что иное	2	3
не только в	4	2
в таких случаях	2	2
в русских сказках	2	2
в тридесятое царство	3	3
в одном случае	2	3
в этом случае	5	3
с другой стороны	2	4
в некоторых случаях	2	3
то же происходит	2	2
в немецкой сказке	2	2
мы увидим что	3	2
в связи с	4	2
точно так же	6	5
д к зеленин	2	5
не может быть	2	4
и т д	18	24
что иное как	2	3
так же как	4	12
до сих пор	6	5
в иное царство	4	6
