2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_2gram
между тем	3	5
ни было	4	2
и ее	2	2
далеко не	3	3
о мире	8	6
никогда не	8	3
как будто	7	3
наконец в	3	2
так же	8	6
достоевского нет	3	3
в нем	19	19
друг другу	4	2
как на	2	3
его в	4	6
к нему	14	6
так и	6	7
со всею	2	2
в своей	3	8
это не	5	9
для достоевского	4	5
с точки	4	13
прежде всего	15	7
раз и	3	4
входят в	2	2
но это	4	4
в форме	2	7
в одной	3	6
не о	4	2
и в	34	29
но не	4	9
если бы	4	9
голос самого	2	2
голоса в	2	2
тот же	2	2
в человеке	2	3
должна была	2	4
и т	8	4
для него	13	18
входит в	2	7
отношение к	6	2
что оно	2	2
другой стороны	3	3
все это	16	6
при этом	4	2
у него	4	5
он ни	3	2
себя как	2	2
и внутренне	2	3
мире а	2	3
не входит	2	3
как к	4	3
и потому	2	6
подобно тому	2	3
с этим	2	2
и с	15	4
и слово	8	3
уже в	3	3
однако в	2	2
и как	3	7
самого начала	8	2
в отношении	9	2
точки зрения	8	19
же и	2	2
что он	23	8
именно потому	2	2
тому как	2	3
не знает	6	3
так чтобы	3	4
так что	5	2
так сказать	2	4
в своем	2	8
в большинстве	2	2
из подполья	36	10
романах достоевского	3	5
великого инквизитора	2	2
он все	3	2
то же	14	14
в целом	5	6
записок из	3	2
словом о	2	2
как бы	27	19
что в	7	8
произведениях достоевского	2	5
если б	2	2
уже не	2	13
творчестве достоевского	5	5
в которых	2	2
в этом	16	22
мы остановимся	4	2
в обычном	2	2
должно быть	3	4
за ним	2	3
бы то	4	2
в жизни	2	2
этом смысле	4	10
отличается от	2	3
его и	3	2
героя и	9	10
вследствие этого	2	2
эта особенность	2	4
у вас	2	2
он знает	2	3
совпадает с	2	2
или как	2	5
героя в	5	4
но как	4	3
себе самом	5	9
для его	2	3
он в	4	3
той же	2	5
в мире	4	6
еще не	4	5
в то	12	10
т е	12	21
и для	8	4
так как	4	6
нисколько не	2	2
как раз	4	6
и у	5	3
с другими	4	7
чужого сознания	3	2
точек зрения	2	3
было бы	2	5
последним словом	2	2
в самом	8	10
же не	2	2
таким образом	5	12
а в	5	7
и тон	3	2
дело идет	5	5
это и	2	5
его целом	2	6
образа героя	3	2
у достоевского	13	16
ни одного	5	2
как другой	4	3
как мы	7	4
вопрос о	2	2
в творчестве	3	5
вовсе не	11	7
на вопрос	4	2
из своего	4	2
например в	2	3
он и	5	5
все эти	4	9
жизни и	3	2
как можно	3	2
нет ни	2	2
его к	3	2
достоевского в	3	12
конце концов	3	5
слово о	7	7
о нем	2	9
т п	6	3
не в	9	7
друг с	2	2
но все	5	5
отношению к	6	8
сознания и	3	5
себе и	5	3
себе самому	18	3
находится в	2	2
и не	29	31
всех этих	2	2
за пределы	2	7
для других	3	2
даже в	5	4
себя самого	11	2
может быть	19	24
на него	7	3
ни в	4	3
нему и	5	2
и наконец	5	4
с собою	6	2
мире достоевского	3	7
в плане	6	5
слово героя	4	7
конечно не	2	2
большинстве случаев	3	2
о себе	18	12
к себе	17	2
в одном	5	10
на самом	11	5
из его	4	2
в произведениях	2	3
человека из	13	3
героя но	2	2
да ведь	2	2
и во	3	2
ее как	3	3
более того	2	5
я не	7	3
и к	12	2
не как	3	14
в себе	6	7
мы должны	5	3
последнее слово	4	8
ивана карамазова	3	4
и со	2	2
только в	6	10
бы в	3	3
себя и	8	2
но и	12	14
отношении к	7	3
чужое слово	2	2
что же	8	4
сказать что	2	3
но именно	2	3
обращено к	2	2
и сам	5	2
что и	5	4
то ни	4	2
как в	4	6
него нет	2	2
слово в	2	2
то что	11	15
как и	18	12
время не	2	3
потому что	12	8
в другой	2	3
по ту	2	2
благодаря этому	2	2
достоевского и	3	7
в которой	2	2
в каждом	3	8
один из	2	2
и это	4	5
рядом с	4	14
говорит он	3	6
он сам	5	3
ту сторону	2	2
с этой	2	2
был бы	2	6
и его	16	14
самом деле	13	6
до конца	3	8
к другому	20	2
не может	19	12
он не	15	5
в его	22	24
сливается с	3	6
в той	2	2
с ним	8	5
с его	6	9
не только	10	15
по себе	3	8
том что	3	7
войти в	2	2
мы уже	6	2
ибо в	2	2
бы уже	3	2
а как	2	7
в них	2	3
были бы	2	4
тем что	4	4
ни был	4	2
а не	9	22
и даже	7	2
все те	2	2
самого героя	3	8
их в	3	4
в ней	3	2
кажется что	2	2
в кругозор	2	6
диалог в	2	3
бы он	4	2
бы и	4	4
же время	12	9
он есть	2	4
и на	6	7
во всяком	5	5
тому что	2	3
но с	2	3
не было	2	4
самим собою	9	2
человек из	7	4
по отношению	5	8
в котором	3	2
в конце	5	6
для себя	6	2
в романах	3	7
хотя бы	5	2
те же	2	2
лишь на	2	3
он может	2	3
все его	2	3
как слово	2	3
ничего не	4	5
все время	5	2
достоевский заставляет	2	2
всяком случае	5	3
чужому сознанию	3	2
там где	7	10
в том	3	8
но в	16	7
другого человека	5	4
и что	5	2
на его	4	2
с другой	4	3
слову героя	2	2
но он	3	2
и от	5	2
друг друга	2	3
в сущности	11	5
в пределах	6	13
все же	7	9
человек и	2	2
