3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram
а не просто	2	3
в чистом виде	3	2
взятые сами по	2	4
в каком случае	3	2
и то что	7	7
тоже нечто значит	2	2
так как иначе	3	4
на самом деле	2	2
заключается в том	2	3
что знак есть	3	3
но никак не	2	3
в настоящее время	16	2
не есть ни	3	3
или по крайней	3	4
того или иного	5	3
то или иное	2	2
и в этом	3	6
не имеет ничего	2	3
только то что	3	2
как раз и	4	4
с другой стороны	5	5
можно было бы	2	3
в языкознании и	3	2
между знаком и	5	2
само по себе	2	3
не может быть	3	5
есть не что	3	4
в конце концов	7	3
всякий знак есть	5	3
не есть просто	2	2
то есть в	2	3
о том что	14	3
как будто бы	5	3
та или иная	2	3
бы то ни	2	4
и вовсе не	4	4
не что иное	3	4
есть нечто более	2	2
не только в	2	2
знаком и символом	2	2
уж во всяком	2	3
в то же	4	4
содержит в себе	2	3
сами по себе	2	6
тем не менее	12	10
имеет ничего общего	2	3
что всякий знак	3	4
ничего общего с	2	2
имеется в виду	2	4
на первый план	3	2
еще не есть	2	2
в связи с	5	7
точно так же	3	3
никак не может	2	2
друг от друга	2	2
вовсе не есть	10	8
самостоятельное значение и	2	3
той или другой	4	4
во всяком случае	10	6
же самое время	4	4
то такого рода	2	2
да и то	2	2
сама по себе	4	8
что такое знак	5	2
что же такое	4	3
у нас не	2	2
то это значит	2	2
и в частности	3	2
в том что	4	9
необходимо сказать что	5	2
ни в каком	4	4
в таком случае	10	4
знаковой теории языка	8	2
того или другого	2	3
это значит что	3	2
но и в	3	2
в данном случае	5	7
можно сказать что	3	2
и ни в	2	2
не просто как	3	2
от знака к	2	2
том или ином	2	2
не имеет никакого	2	3
вовсе не является	3	2
по крайней мере	6	5
если мы возьмем	2	2
когда мы говорим	2	3
даже и не	2	4
то же самое	5	7
в этом случае	7	5
также и то	2	4
даже и в	3	2
и т д	6	13
что иное как	3	4
может быть и	2	3
до сих пор	4	2
