3gram	Potebnia_Myslijsyk_partition_part3_wordlist_3gram	Potebnia_Myslijsyk_partition_part4_wordlist_3gram
вместе с этим	2	2
для того чтобы	4	3
с тем и	2	2
имеет для него	3	2
по мере того	4	3
сам по себе	4	5
там же с	2	6
можно думать что	2	2
только потому что	2	2
не в том	2	5
по крайней мере	5	5
мы не можем	3	2
и в том	2	2
по отношению к	8	5
только в том	2	3
есть для меня	4	2
в том что	7	16
не могут быть	2	2
вместе с тем	3	4
от того что	3	5
а в том	2	5
в таком случае	2	2
подобно тому как	2	2
в том же	2	2
для меня то	2	2
не только не	3	2
в то же	3	5
тем не менее	4	3
то что я	7	2
а между тем	4	2
только тогда когда	4	7
можно сказать что	4	2
и т п	4	2
само по себе	5	3
и т д	3	3
заключает в себе	8	5
не может быть	5	3
что я представляю	2	2
но тем не	2	2
в том смысле	2	3
потому что мы	2	2
то же время	3	5
до сих пор	4	3
мере того как	4	3
что и в	2	3
