2gram	Vinokur_KulturaYazyka_partition_part3_wordlist_2gram	Vinokur_KulturaYazyka_partition_part1_wordlist_2gram
между тем	5	4
можно говорить	2	10
мы имеем	6	2
связи с	7	6
относится к	2	2
в рамках	4	5
что такое	6	4
в зависимости	5	7
из этих	4	5
слова как	3	2
к языку	5	4
научное языковедение	2	3
в свое	2	2
что это	5	3
так же	4	2
и при	2	2
и того	2	2
можно было	6	11
как на	3	8
что она	3	5
так и	7	6
в своей	2	4
речь идет	2	3
с точки	9	16
это не	7	3
прежде всего	9	9
речи в	4	7
в данном	4	7
как о	2	3
и в	24	23
а то	2	2
но если	2	3
не потому	5	3
но не	5	3
не случайно	6	4
того или	4	3
вместе с	7	2
если бы	9	8
зависимости от	6	8
тот же	2	6
к тому	5	3
в качестве	7	2
в силу	10	6
и т	33	54
таких слов	2	2
в значении	2	2
для нас	2	4
здесь не	3	2
именно в	6	3
а во-вторых	2	2
другой стороны	6	3
все это	6	2
при этом	6	6
внутренняя форма	2	3
на мой	2	3
в результате	5	3
которые можно	2	2
и есть	2	5
и с	5	3
на практике	3	4
уже в	3	3
и как	2	2
что слово	3	3
того что	9	11
точки зрения	14	23
того как	4	7
языка и	8	2
не все	2	2
не менее	7	12
что он	6	6
в своем	3	4
так сказать	5	2
тем не	4	9
также и	2	5
обстоятельство что	8	3
в числе	2	4
может иметь	2	3
только тогда	3	4
что они	4	2
с тем	5	6
в таком	3	4
в целом	4	4
то же	8	6
как бы	7	5
в русском	4	2
первую очередь	2	3
сих пор	4	8
что в	17	13
уже не	8	8
убедиться что	2	4
в которых	6	3
в этом	14	16
должно быть	3	7
практической стилистики	3	4
лишь в	2	8
того же	4	4
должна быть	3	3
о чем	2	2
в языке	8	7
или иного	3	3
русском языке	4	3
никак не	2	2
той же	3	3
в их	3	6
xix века	5	3
же до	2	2
еще не	5	9
как например	2	2
в то	2	3
т е	38	32
этом случае	2	4
они не	3	3
этого рода	6	3
мой взгляд	2	3
как раз	8	4
так как	9	9
в тех	4	2
в первую	4	3
о языке	8	6
было бы	15	16
очень много	2	2
то обстоятельство	8	3
в самом	10	13
смысле этого	3	2
таким образом	12	9
которое в	2	2
а в	5	5
это и	4	3
что если	2	2
до сих	4	8
ни одного	2	2
мы говорим	2	4
на том	3	2
очевидно что	3	3
вовсе не	10	5
вопрос о	2	11
то и	2	2
а именно	2	3
области языка	2	2
в структуре	2	3
речь в	4	2
культура языка	2	2
все эти	6	7
слово это	5	2
не могут	2	5
не столько	2	4
письменной речи	3	4
как это	3	7
внимание на	4	2
т п	18	41
как таковой	2	2
если мы	2	7
между прочим	2	8
не в	11	5
тогда когда	6	4
у нас	10	10
отношению к	9	2
но все	2	2
что эти	4	2
но также	2	5
и не	12	10
может быть	13	14
ни в	2	3
культуры языка	4	2
не трудно	7	3
в первом	3	5
конечно не	2	2
одного и	2	2
состоит в	3	2
с помощью	7	6
в одном	3	2
на самом	2	3
о том	9	6
по существу	4	3
е в	2	2
в связи	3	5
я не	2	5
есть язык	3	3
не с	3	2
не просто	5	2
только в	11	6
но и	6	3
именно поэтому	2	2
что не	5	4
для этого	3	6
дело не	2	2
учение о	4	2
того чтобы	17	11
что же	6	5
когда мы	2	3
не имеет	2	3
и более	2	3
в этих	4	2
то мы	3	3
что и	4	6
для того	16	12
или иной	3	7
как в	4	4
как об	2	2
то что	9	4
как и	2	5
увидим что	2	2
т д	14	8
потому что	23	12
может служить	2	2
что все	2	2
указать на	4	2
один из	4	4
в особенности	3	2
в области	7	14
ясно что	3	4
и здесь	3	2
слова и	4	7
был бы	2	3
и пр	15	3
более или	3	2
с этой	2	3
самом деле	9	14
тем более	2	5
когда он	3	2
в слове	2	4
не может	7	6
он не	2	3
по преимуществу	2	3
в его	12	11
и именно	2	3
практическая стилистика	4	2
не есть	4	3
и если	3	2
в той	5	4
заключается в	2	4
не только	10	17
по себе	2	6
язык есть	6	4
можно сказать	3	2
том что	21	11
как они	2	2
в какой	6	3
тем самым	4	4
на этот	2	2
и тем	2	6
на себя	3	2
в каком	2	3
бы уже	2	2
не говоря	2	2
свое время	2	2
были бы	2	4
в виду	5	8
именно так	2	2
тем что	8	5
смысл и	2	2
а не	8	11
хотя и	3	5
русский язык	4	4
этого слова	3	4
все те	2	2
в ней	6	3
то это	3	3
бы и	2	3
целый ряд	5	4
в общем	3	6
во всяком	5	2
тому что	3	4
иными словами	4	8
не было	3	4
е как	4	3
по отношению	8	3
в котором	3	2
быть в	2	2
или менее	3	2
том чтобы	8	4
хотя бы	10	9
когда в	2	2
ничего не	2	6
еще и	5	2
но язык	2	2
там где	4	3
в том	30	22
а с	3	3
иначе говоря	2	2
языка как	5	4
в таких	4	2
но в	2	2
русского языка	9	7
и что	5	7
а потому	5	2
с другой	7	7
языка в	12	6
в сущности	3	4
и должно	2	5
здесь как	2	2
в пределах	4	2
все же	12	5
как я	2	2
в частности	4	2
