2gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram
связи с	3	3
подняться над	2	2
не осознает	3	2
в системе	3	4
так точно	2	4
высших психических	2	5
их развития	5	5
никогда не	8	5
так же	15	15
друг другу	2	2
в меру	2	4
связи и	3	2
этого процесса	2	2
в умственном	2	2
системы в	4	2
целиком и	2	2
к тому	10	6
реальных понятий	10	2
научное понятие	8	2
понятия с	2	3
собственной мысли	2	5
от ребенка	2	3
он имеет	2	3
по сравнению	15	5
у ребенка	13	9
между обучением	6	12
если верно	2	2
с этим	4	3
переход от	4	7
и как	6	3
обучения на	2	2
этот период	2	2
самого начала	7	5
пути развития	2	3
точки зрения	13	18
того как	5	5
отношения к	3	2
же самое	6	4
этом возрасте	3	4
понятий которые	4	4
требует от	3	3
не совпадает	2	2
идет от	2	2
зависит от	3	4
что они	2	5
в целом	3	4
как бы	11	5
показывает исследование	6	2
что в	17	16
обучением и	5	12
путь развития	7	4
но как	3	3
лежит в	3	2
той же	4	4
что развитие	6	8
для развития	5	6
нас к	4	3
иначе как	5	2
было бы	9	10
исходит из	2	2
во второй	2	2
только на	2	2
таким образом	18	19
а в	2	3
форм и	2	2
что если	2	4
очевидно что	3	2
когда ребенок	3	3
что я	2	2
каждого отдельного	3	3
представляют собой	3	2
и т.д	3	4
речь в	2	3
умственного развития	5	6
приходит к	2	3
но только	2	2
отношению к	10	12
у нас	2	2
опирается на	2	4
в школьном	9	18
и другое	2	4
в себя	3	3
в школу	4	3
понятиями в	4	2
с помощью	13	10
по существу	2	3
как показывают	3	2
является не	2	2
не с	2	2
иностранный язык	6	5
только в	18	10
имеет место	2	2
обучении и	2	2
не имеет	6	4
сравнению с	14	5
школьного возраста	3	12
и его	3	3
высшую ступень	2	5
мы пытались	2	2
ребенка в	8	5
до конца	3	3
не может	19	18
он не	7	8
могли бы	9	6
но что	4	3
по себе	3	7
детских понятий	5	12
и произвольности	4	2
между развитием	4	6
и тем	5	3
вне системы	3	3
ребенок раньше	2	3
в них	3	2
понятий не	4	2
мысли в	4	4
понятия к	11	2
тем что	8	5
а только	2	4
системе отношений	2	2
в новой	2	4
все основные	2	3
связей и	2	4
и следовательно	4	6
не умеет	4	3
в котором	2	2
мысли и	2	5
как показывает	7	4
сам пиаже	3	3
он может	2	3
если он	2	2
между понятиями	21	3
неспонтанных понятий	2	2
в том	28	18
но в	5	6
и между	2	2
и письменной	2	5
но он	2	7
все же	2	3
в совершенно	2	2
приводит к	6	7
к одному	2	2
в частности	4	3
между двумя	2	3
вообще не	6	4
начинается в	2	2
для ребенка	6	3
по мере	3	2
не на	2	3
из этого	2	2
его в	6	2
больше чем	3	3
так и	6	7
с точки	10	9
показал что	4	3
и в	28	16
вместе с	7	4
оба эти	3	4
отношений общности	26	3
в качестве	4	4
понятия в	6	3
к жизни	4	3
не станем	2	2
родной язык	4	3
этом вопросе	2	2
в такой	2	5
другой стороны	2	2
все это	2	2
то в	5	3
при этом	3	4
верно что	2	2
перейти к	2	3
из области	2	2
этот вопрос	3	6
спонтанных понятий	15	7
усвоение иностранного	8	3
к которому	2	4
что мы	11	4
языка и	5	6
что он	18	25
показывает что	7	5
именно потому	2	2
не знает	3	5
предмета и	2	2
с несомненностью	4	2
и полностью	2	2
с тем	5	3
детской речи	5	2
