2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram
большей частью	3	2
представлений о	2	3
мы имеем	7	13
связи с	3	4
относится к	3	2
и этим	2	2
еще один	2	2
наряду с	3	3
никогда не	2	14
что это	2	8
своего отца	3	2
так же	18	7
в нем	2	2
видели что	3	3
не на	3	2
его в	9	6
так и	10	9
об этом	7	4
что она	3	5
это не	5	7
в лесу	12	8
в свете	3	2
но это	3	4
в форме	2	3
в точности	5	2
в современной	2	3
и он	3	3
и в	26	28
одна из	2	2
в брак	2	2
но не	5	5
в русской	3	2
стоит на	2	2
вместе с	6	6
если бы	2	8
в немецкой	2	2
в силу	5	5
этих случаях	8	2
этот момент	2	2
сказке в	2	3
герой хочет	2	2
в качестве	7	5
перед нами	3	3
и т	27	25
сказка не	2	5
тут и	2	2
для нас	3	13
должен был	3	3
здесь не	4	4
другой стороны	4	5
все это	2	4
при этом	3	3
живет в	2	2
связь с	12	4
ему в	2	3
этот вопрос	2	7
в царство	2	7
и другие	3	4
с этим	2	4
и с	5	4
что герой	2	9
однако в	2	2
по его	2	2
со сказкой	2	4
и как	5	2
что мы	3	7
того что	2	4
предположение что	2	2
того как	4	3
волшебное средство	9	3
себя в	2	2
же самое	2	3
не дает	2	2
начинается с	2	3
не менее	2	6
что он	10	10
показывает что	10	3
так что	2	4
в своем	2	5
или на	2	3
тем не	2	6
здесь можно	2	2
в иной	6	4
с тем	2	4
что они	6	5
во всем	3	3
и тот	2	2
в целом	2	2
то же	8	12
на этом	2	3
к этому	5	2
как бы	3	2
и их	2	3
представляет собой	2	4
в иное	7	4
между ними	3	2
что в	14	12
попасть в	2	3
в руки	3	3
уже не	5	3
то здесь	2	2
сих пор	5	5
в этом	7	8
представления о	3	3
его и	2	2
видим что	2	9
в мифе	2	2
не всегда	6	8
в некотором	2	2
должна быть	2	5
в обряде	2	3
нет необходимости	3	2
к сказке	4	3
героя в	7	5
эту связь	4	2
всякого рода	3	2
он в	4	2
этого мотива	3	2
но мы	3	2
еще не	6	7
связанные с	3	2
т е	18	10
так как	9	6
в тех	4	2
ни одной	2	2
было бы	2	7
в могилу	2	2
другими словами	2	4
к своему	3	2
с того	3	3
и др	5	7
таким образом	10	8
а в	8	7
случаи когда	2	3
до сих	5	5
на то	3	4
сказке и	2	2
а именно	3	4
вопрос о	4	5
как мы	5	3
вовсе не	4	2
представляют собой	4	6
все эти	3	4
например в	3	5
ж ст	2	2
на вопрос	3	2
установить что	2	4
к ним	2	4
не могут	2	2
показывают что	2	5
в лес	3	8
точно так	5	3
в некоторых	5	2
как это	3	3
а по	4	2
дает сказка	2	2
не в	5	9
в аид	2	3
связь между	2	3
так например	2	6
но все	5	4
мы видим	6	11
и не	9	9
может быть	14	25
даже в	4	4
а сам	2	2
на него	3	4
в виде	2	2
только с	2	2
мы знаем	8	4
конечно не	2	2
в одном	5	5
о том	4	9
так в	4	4
в этой	2	6
их не	2	2
при помощи	10	2
по существу	3	5
обряда посвящения	5	2
в связи	2	4
в тридесятое	4	2
в себе	2	2
мы должны	5	13
что здесь	7	5
только в	3	11
не просто	4	3
но и	12	10
в другом	5	3
мы здесь	2	3
в дальнейшем	6	5
дело не	2	5
не по	2	2
из них	2	3
как он	6	2
в этих	7	7
выше мы	2	3
в доме	4	2
то мы	2	4
что и	9	6
как в	7	2
то что	16	9
как и	7	4
увидим что	2	5
мы видели	6	2
мы увидим	3	10
потому что	6	4
в американских	2	2
т д	24	22
право на	2	2
в исторической	2	6
в особенности	2	2
в области	2	2
том как	2	2
и здесь	5	7
что этот	4	2
он должен	3	2
говорит о	2	2
поставить вопрос	2	2
это для	3	2
и пр	11	4
и его	10	3
и только	5	2
когда он	6	6
не может	6	15
он не	7	2
русской сказке	4	2
в его	5	5
в образе	3	3
не есть	2	2
и если	3	2
не только	15	12
по себе	2	3
том что	3	7
леса в	2	2
а затем	3	2
на этот	2	2
и тем	2	2
во время	7	3
этот материал	2	3
могут быть	6	4
попадает в	3	5
тем что	5	3
а не	6	15
же как	13	2
раньше чем	5	4
и даже	4	4
из которых	5	3
указывает на	4	2
их в	7	5
бы мы	2	2
это происходит	2	2
то это	5	3
на это	2	2
т д.<неи	3	2
и на	2	4
есть только	3	3
с той	2	2
таких случаях	2	2
по своей	2	2
его как	2	2
немецкой сказке	2	2
хотя бы	2	4
или в	3	5
видно по	2	2
ничего не	5	2
на котором	3	3
иной мир	6	3
это приводит	3	2
сказка знает	2	2
там где	3	4
превращается в	7	4
в том	3	9
иное царство	6	6
но в	5	8
в таких	2	2
здесь мы	2	7
сказке не	4	2
в сказке	47	44
и что	5	10
с другой	4	6
и вот	2	2
и по	5	3
сказать что	2	5
все же	9	10
в частности	2	2
