2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram
козьи уши	2	3
связи с	2	3
так же	3	4
к нему	3	5
из коих	6	2
этот образ	4	2
оно есть	3	2
со стороны	3	3
и та	2	4
к слову	2	3
за собою	2	2
к тому	7	3
с нею	2	3
для нас	20	14
внутренняя форма	15	2
к сознанию	2	2
мысли о	2	2
с этим	6	7
или что	3	2
и как	5	2
что слово	7	10
того как	4	6
том смысле	3	2
точки зрения	2	4
что мысль	2	3
из сказанного	2	3
свою мысль	2	2
самое слово	2	4
как бы	3	5
для говорящего	3	3
что в	17	17
уже не	6	3
и проч	16	18
тем и	3	6
же с	6	2
нельзя сказать	3	3
что как	2	4
или лучше	2	2
той же	2	3
и о	2	4
народной поэзии	2	7
с другими	5	4
было бы	9	8
только на	3	4
в нас	2	3
таким образом	14	24
а в	12	5
для человека	4	4
для мысли	4	2
вместе и	5	2
из себя	2	2
очевидно что	5	7
что я	5	11
имеет для	3	5
только потому	3	4
в других	2	2
отношению к	5	8
на мысль	4	4
что только	6	2
и слова	2	2
и понятия	3	2
нам кажется	2	2
в себе	16	14
только под	2	3
художественное произведение	6	2
только в	21	15
когда например	2	2
слово есть	9	5
не имеет	6	5
не то	3	5
в искусстве	3	3
по тому	5	2
говорящего и	3	2
и это	4	2
и его	4	2
внутреннюю форму	5	3
не может	6	11
он не	4	2
но что	2	2
не есть	17	9
и если	2	3
не знаем	3	2
по себе	16	11
эта последняя	2	2
что по	2	2
и тем	5	4
а как	2	2
в них	5	3
мере того	3	4
быть не	2	2
тем что	7	10
есть уже	11	4
перед собою	2	2
язык не	2	5
же время	5	3
можно видеть	5	2
не думая	2	2
и следовательно	3	3
слов в	2	4
поэтического произведения	2	5
в котором	4	4
так или	2	2
мысли и	2	7
для меня	4	10
слова в	7	3
не существует	3	2
по которому	5	3
в том	32	23
все равно	4	3
к одному	5	3
со словом	4	3
в сознание	7	2
мысли а	4	2
по мере	4	7
что это	4	7
и при	4	2
его в	3	4
так и	11	6
об этом	2	2
в ее	2	2
говорить о	3	5
и в	30	23
не будет	3	3
не можем	3	5
вместе с	12	6
я представляю	2	2
она не	2	2
все это	4	5
при этом	3	15
представить себе	3	2
в сознании	15	4
меня то	2	2
и с	2	4
уже в	5	5
что мы	8	10
языка и	2	3
все что	4	2
что он	6	4
с и	3	2
столь же	4	2
тому как	5	2
только тогда	9	5
с тем	7	7
мысль о	5	6
к ней	5	2
в этом	10	23
не следует	5	2
должно быть	5	5
природы и	2	2
не всегда	2	3
бы ни	3	2
еще не	5	3
но мы	2	2
в то	10	4
в самом	8	3
и до	2	3
об отношении	4	2
до сих	3	4
до того	4	3
каждый раз	2	4
то и	6	4
т п	2	4
связь между	2	3
т с	22	6
и не	15	18
нашей мысли	4	3
в виде	2	2
слово с	2	6
членораздельный звук	3	3
такое же	3	2
мы можем	3	10
в одном	2	4
так в	2	3
не как	2	2
и без	7	2
бы в	2	2
но и	19	11
там же	6	3
того чтобы	3	4
мысли есть	2	4
выше мы	2	2
для того	4	6
потому что	46	33
будет понятно	2	2
в которой	3	6
в каждом	3	3
только не	2	3
слова и	5	5
тем более	4	5
в слове	32	22
в его	4	5
с ним	6	5
можно сказать	3	4
тем самым	7	4
во время	2	2
в каком	5	4
мы не	9	8
указывает на	6	2
этого слова	11	7
в ней	8	2
никто не	3	2
такой степени	2	6
не было	4	12
это последнее	2	4
по отношению	5	10
можно думать	3	2
что язык	2	7
чувственный образ	23	11
что даже	4	2
чувственных восприятий	7	2
заметить что	3	6
в действительности	5	3
что такое	2	7
это можно	3	2
что например	3	3
в нем	9	7
оно не	4	2
что она	3	2
и значением	2	4
но это	6	3
таком случае	2	2
чувственного образа	16	6
то есть	34	34
если бы	12	13
можно только	2	2
все в	2	2
независимо от	5	6
и т	5	7
для него	9	5
именно в	3	3
новое восприятие	5	2
этого последнего	2	2
по крайней	5	5
человека и	5	3
одно слово	2	5
в ряду	3	6
иметь в	2	2
что хотя	2	3
так сказать	2	5
так что	7	5
в таком	3	4
из виду	2	2
в мысли	2	3
и притом	2	2
за ним	3	2
глядя на	2	2
слова не	2	3
душевной жизни	6	3
в речи	2	3
тогда как	2	4
внешняя форма	7	3
есть для	5	5
например в	6	3
представления и	3	3
по своему	2	2
тогда когда	9	8
мы видим	2	2
только как	5	4
даже в	2	2
в первом	3	3
мысли то	3	4
в разных	2	3
мы должны	4	2
что не	8	6
для понимания	4	2
что же	2	5
развития мысли	5	2
то что	18	29
между собою	6	4
что все	3	4
в области	2	2
это было	3	2
это слово	4	4
не только	21	10
язык есть	2	7
том что	18	12
внешней природы	2	6
образ или	2	2
могут быть	3	7
от того	8	4
а не	15	12
и даже	2	2
то это	6	8
само по	3	5
и на	3	3
есть только	5	5
думать что	5	4
это сравнение	2	2
же что	6	2
мысли не	3	3
на котором	2	4
есть вместе	2	2
друг друга	3	2
языка в	5	2
возможно только	3	3
сказать что	5	8
мы уже	2	3
и может	3	4
из него	2	2
под условием	2	3
между тем	9	9
сам по	5	4
из этих	9	2
есть в	3	5
есть нечто	4	5
есть то	2	4
в силу	3	7
на деле	5	2
в свою	3	2
отношение к	2	2
и потому	4	10
подобно тому	2	2
по поводу	4	4
и есть	3	3
образом в	3	5
того что	18	14
не менее	5	5
в своем	5	8
тем не	3	4
то же	23	14
внутренней формы	19	10
и тот	2	3
сих пор	3	4
если б	5	4
в которых	2	3
том же	2	2
только от	3	3
в языке	7	16
признаков в	2	3
мы различаем	2	2
и вообще	3	2
так как	13	14
и мы	2	5
мысли которая	3	2
в зародыше	2	2
со значением	2	3
и вместе	3	3
без сомнения	4	4
на то	2	7
как мы	7	2
вовсе не	7	7
не были	2	2
мысли что	4	2
его к	2	2
положим что	2	3
точно так	12	2
не могут	5	2
но тем	2	2
не в	15	11
то он	2	2
может быть	28	26
а между	2	4
и все	3	4
о том	2	8
ко всем	2	3
быть может	3	4
когда мы	2	6
что и	13	7
как в	10	7
слово в	4	4
как и	10	14
т д	3	3
бы не	4	3
ряду других	2	3
один из	4	2
самом деле	2	3
что есть	2	3
есть средство	3	4
крайней мере	5	5
в образе	3	2
лишь тогда	2	3
и то	8	5
слова с	3	3
образа и	3	3
слово и	3	3
их в	2	3
человек не	2	2
тому что	3	2
мысли как	3	2
значение слова	5	5
есть не	7	4
посредством слова	6	2
только что	8	3
те же	6	3
там где	3	3
и что	10	7
в смысле	4	3
на его	2	3
заключает в	5	8
с другой	7	2
от него	2	2
и по	4	3
есть представление	6	2
что человек	2	3
