2gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_2gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_2gram
между тем	3	3
к его	2	3
нарративного высказывания	3	3
мы имеем	3	3
всего лишь	3	6
из этих	4	2
исключительно в	2	2
повествуемый мир	2	2
никогда не	4	6
в нем	4	5
и того	2	3
оно не	2	2
в своей	5	4
свидетеля и	2	2
так и	5	9
об этом	6	4
это не	3	3
двух или	2	2
прежде всего	4	6
в современной	3	2
в форме	2	5
событийного опыта	8	7
со стороны	8	6
в данном	11	10
и он	6	2
и в	11	13
одна из	4	3
не будет	2	2
но не	4	3
имеем дело	2	2
то есть	9	9
если бы	7	4
к тому	6	9
в качестве	14	14
[...] и	3	2
данном случае	8	6
перед нами	5	4
во сне	2	2
жизни в	2	6
для него	4	4
в свою	2	2
здесь не	2	2
в принципе	4	2
именно в	3	2
у него	7	6
при этом	19	14
в сознании	4	2
нарративного текста	4	2
времени и	9	4
ему в	2	2
и состоит	4	2
в результате	2	2
подобно тому	3	2
с собачкой	9	10
мира в	4	4
однако в	3	2
да и	2	3
того что	4	6
едва ли	3	3
точки зрения	5	5
сводится к	3	9
себя в	2	2
не менее	3	4
в чем	2	2
стало быть	3	2
все что	2	4
что он	3	5
тому как	3	2
столь же	5	2
повествуемое событие	2	2
так сказать	2	3
в своем	3	6
тем не	3	5
но для	3	2
зависит от	2	2
дело с	2	2
в таком	2	3
то же	8	4
в целом	3	3
а также	6	6
как бы	6	6
в равной	2	2
представляет собой	8	16
на протяжении	7	5
у чехова	6	9
ментального видения	4	2
что в	3	4
уже не	8	4
в этом	12	13
событийной цепи	2	4
в ялте	3	2
в жизни	3	6
классического реализма	2	2
роль в	2	2
героя и	2	2
из наиболее	4	2
о чем	4	2
присутствия в	3	2
не могло	2	2
человеческого опыта	3	2
героя в	3	6
никак не	2	3
за пределами	2	3
не сводится	2	7
его жизни	3	2
в мире	4	4
еще не	4	2
в то	4	5
и для	2	3
как раз	6	3
преосвященного петра	4	2
событийный статус	5	2
в самом	6	2
отличие от	2	5
только на	2	2
по мысли	3	5
а в	13	9
в известном	2	3
в литературе	4	4
в центре	3	2
повествования в	3	3
xix столетия	2	2
своего рода	10	9
тогда как	10	15
на то	2	2
и т.п	8	6
представляют собой	3	2
и т.д	6	4
о них	3	2
жизни и	6	4
могло бы	3	2
как это	3	4
внимание на	4	3
в глазах	3	4
в соответствии	5	3
о нем	3	3
по своему	2	2
центральное событие	2	2
не в	6	8
вольф шмид	6	2
начала и	3	2
такого рода	10	12
у нас	3	2
отношению к	3	5
персонажа и	2	2
в состав	3	3
и не	23	14
может быть	15	10
между собой	2	3
как правило	5	3
известном смысле	2	3
рассказывания в	2	4
и все	3	4
к себе	4	7
состоит в	10	12
о том	4	5
в этой	6	4
но зато	2	2
что у	4	2
в себе	6	8
картины мира	3	2
этом отношении	3	3
повествуемого мира	5	4
не вполне	2	2
только в	12	11
но и	27	15
не является	3	4
имеет место	4	2
соответствии с	4	3
того чтобы	4	3
нарративной истории	3	4
главного героя	3	2
сводятся к	2	2
не имеет	2	2
у нее	4	4
как в	4	5
или иной	4	3
данном рассказе	2	2
то что	9	8
как и	13	4
потому что	5	2
современной нарратологии	6	2
может служить	3	2
если не	2	2
один из	6	3
в области	2	2
две жизни	2	2
по большей	3	3
он сам	3	2
и его	10	3
в архиерее	2	2
самом деле	3	3
в слове	3	3
с ними	2	3
я в	2	5
не может	8	8
он не	3	5
в его	6	6
в той	2	5
с ним	2	4
событийности в	3	2
не только	31	26
с его	4	3
том что	7	13
можно сказать	5	6
теперь как	3	2
раз в	2	2
тем самым	5	5
нарратора в	2	2
и судии	2	2
и тем	4	5
отнюдь не	2	4
самого рассказывания	2	2
в случае	2	2
дамы с	2	7
действующих лиц	5	3
в обоих	2	2
а не	13	17
той или	5	3
хотя и	4	5
мы не	3	2
является событием	2	2
как у	2	4
в ней	4	2
и даже	2	3
в конечном	3	3
же время	4	3
в рассказе	8	4
художественного письма	3	2
же в	2	4
в тексте	13	8
в отличие	2	5
только что	2	2
по отношению	3	5
истории в	4	4
равной степени	2	2
в конце	2	4
хотя бы	2	2
нарратора и	2	3
при всей	3	4
ничего не	2	6
а во	4	2
в начале	3	2
но при	3	4
тому же	6	4
другого сознания	2	2
в детстве	2	2
в том	8	14
иначе говоря	8	7
и внутреннего	2	2
о ней	3	3
но в	7	6
с другой	2	5
в нашем	3	2
встречи с	2	2
центрального персонажа	3	2
сказать что	2	3
все же	4	6
большей части	3	3
в частности	14	11
