4gram	Losev_VladivirSolovjev_partition_part1_wordlist_4gram	Losev_VladivirSolovjev_partition_part2_wordlist_4gram
письма т iii с	5	5
в л указ соч	3	2
с м указ соч	13	4
соловьев вл письма с	7	3
письма т ii с	2	3
дело в том что	3	4
вопросы философии и психологии	2	2
вл письма т ii	2	3
там же с ]	9	7
вл соловьева в эти	2	5
л указ соч с	3	2
к с п хитрово	2	4
т i с ]	3	2
вл письма с ]	5	2
указ соч с ]	11	2
вл письма т iii	5	5
в то же время	3	4
соловьев вл письма т	9	10
т iii с ]	4	10
вл соловьев никогда не	3	2
