3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram
одно и то	6	3
одной стороны и	2	3
и тем же	3	2
по своему значению	3	2
на то что	4	4
в свою очередь	2	2
по сравнению с	3	7
для того чтобы	5	18
в собственном смысле	7	3
о том что	3	4
детского мышления и	4	2
между словом и	2	8
в отличие от	2	2
том что они	2	2
к выводу что	2	2
и то что	4	3
одной и той	4	2
смысле этого слова	7	3
же как и	4	2
друг с другом	7	2
заключается в том	14	4
и тем самым	4	4
на всем протяжении	2	4
мы могли бы	9	4
как мы видели	2	3
в том что	31	13
вместе с тем	3	4
в этом отношении	7	3
с этой точки	4	4
в самом деле	6	4
не только не	5	9
вместе с возрастом	2	4
предметной отнесенности и	2	2
содержит в себе	2	3
с точки зрения	11	21
одним и тем	3	2
и той же	4	2
то же самое	7	5
в этом случае	3	14
бы сказать что	3	2
этой точки зрения	4	4
в данном случае	2	5
собственном смысле этого	4	3
с одной стороны	9	5
точно так же	3	2
так же как	5	7
развития научных понятий	8	2
могли бы сказать	2	2
и то же	6	3
состоит в том	3	3
