3gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_3gram
достаточно для того	2	2
издания сочинений пушкина	2	6
в и чернышев	10	66
то что в	2	2
на то что	2	4
во всяком случае	3	6
для того чтобы	5	10
о том что	11	11
словаре академии российской	2	3
так и в	2	4
но все же	2	3
за то что	2	3
как раз в	2	2
не в том	2	2
мере в какой	2	2
мне кажется что	2	2
речь идет о	3	2
работы пушкина над	3	2
в том что	16	17
в этом отношении	9	7
и в этом	2	3
в самом деле	2	5
вопрос о том	3	2
в пушкинское время	2	2
с точки зрения	2	8
тем не менее	2	2
в и чернышева	2	41
нового академического издания	2	2
в словаре академии	2	3
по этому поводу	2	2
том что в	2	3
с другой стороны	3	6
то обстоятельство что	4	2
дело в том	4	4
и т п	3	9
в борисе годунове	28	2
к борису годунову	3	2
и т д	6	21
бориса годунова в	3	2
в том смысле	2	2
так же как	3	3
до сих пор	5	7
том что пушкин	2	3
