3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram
того что нам	2	2
по сравнению с	5	5
для того чтобы	10	14
ступень в развитии	3	2
к тому чтобы	2	4
о том что	4	4
то что он	2	2
в отличие от	3	2
сама по себе	2	4
в зависимости от	6	2
что нам известно	4	2
друг с другом	2	7
в другом месте	2	4
заключается в том	7	5
в теории пиаже	5	2
в процессе развития	5	3
на этот вопрос	5	4
на всем протяжении	2	2
мы могли бы	4	6
с помощью которого	2	2
по отношению к	5	12
и т.д и	2	2
в том что	21	11
в этом отношении	3	5
подобно тому как	2	4
в этой теории	2	2
в самом деле	4	2
вопрос о том	2	3
что мышление ребенка	2	2
на вопрос о	2	3
с точки зрения	18	9
с таким же	2	3
из того что	4	4
является то что	2	2
то же самое	2	4
не отдает себе	2	2
том что в	2	2
в высшей степени	7	2
а с другой	4	2
можно было бы	5	3
мы не станем	2	2
лежит в основе	3	2
что он не	2	2
по своей психологической	3	2
с одной стороны	7	3
само по себе	2	2
потому что он	2	5
в своем развитии	2	4
друг от друга	2	4
не может быть	6	3
же самое что	2	2
ту мысль что	5	2
состоит в том	3	3
