3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram
есть не что	2	3
и не просто	2	5
и прежде всего	2	2
в чистом виде	2	3
той или другой	3	4
во всяком случае	4	10
то есть в	6	2
же самое время	2	4
для того чтобы	2	2
пусть хотя бы	3	2
в каком случае	3	3
о том что	3	14
и независимо от	2	2
вовсе не является	2	3
не говоря уже	2	4
сама по себе	2	4
то есть не	3	3
на самом деле	3	2
заключается в том	2	2
но никак не	2	2
имеем в виду	3	2
по крайней мере	6	6
как будто бы	2	5
и в частности	2	3
в значительной мере	2	3
можно ли сказать	2	2
только в том	3	4
не что иное	2	3
в том что	8	4
не есть ни	2	3
необходимо сказать что	3	5
не только в	4	2
ни в каком	5	4
или по крайней	2	3
того или иного	3	5
не имеет ничего	2	2
не только не	4	2
уж во всяком	2	2
в то же	2	4
содержит в себе	8	2
сами по себе	2	2
те или иные	4	3
это значит что	7	3
тем не менее	10	12
имеет ничего общего	2	2
даже и не	2	2
то же самое	6	5
едва ли кто-нибудь	2	2
ничего общего с	2	2
каком случае не	3	2
в данном случае	5	5
тот или иной	2	4
хотя бы и	2	3
с другой стороны	6	5
и ни в	3	2
можно было бы	4	2
и т д	3	6
в связи с	3	5
точно так же	3	3
что иное как	2	3
в этом смысле	3	5
более или менее	2	4
вовсе не есть	2	10
слова то есть	2	2
