2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram
или не	5	4
никогда не	7	2
так же	4	4
диалектический материализм	3	2
оно есть	2	4
со стороны	2	3
в данном	2	3
как о	4	2
того или	3	2
перед нами	3	6
себя как	3	3
с этим	3	3
– не	7	5
и как	8	4
точки зрения	25	14
история и	6	2
стало быть	9	15
сравнении с	3	2
нет и	4	2
есть и	12	3
при условии	3	2
а что	4	2
как бы	3	14
и необходимости	2	3
что в	7	7
уже не	5	9
– это	6	5
мифа и	6	6
и уже	2	4
кроме того	6	2
но как	2	2
никак не	2	2
тех или	2	4
той же	3	5
и о	3	8
есть ни	3	9
было бы	5	9
для мифического	2	2
и знания	2	4
т н	4	2
таким образом	13	5
есть тело	3	2
что если	2	3
это –	16	25
миф не	5	8
есть чудо	3	11
только потому	2	3
жизни и	5	4
мир и	3	4
как таковой	2	5
но только	4	5
у нас	4	3
чего не	4	3
не видно	2	2
не говорит	3	5
конечно не	4	2
в себе	2	8
и тогда	5	2
только в	5	7
личность и	2	3
ровно ничего	3	7
как не	2	2
жизнь и	4	2
и –	6	9
не имеет	11	14
вы не	6	3
что миф	7	5
и это	4	8
что этот	2	2
говорит о	4	3
личности и	5	10
и его	5	7
и только	6	2
это будет	4	3
не может	19	11
но что	7	5
не есть	54	40
говоря уже	2	3
и если	2	3
по себе	20	13
миф и	3	3
– в	6	15
и тем	2	6
в них	5	2
может и	2	2
быть не	2	2
тем что	3	2
субъекта и	4	5
хотя и	5	6
же время	3	6
собственно говоря	4	2
я утверждаю	4	4
и следовательно	2	3
в том	5	11
но в	2	3
и механизм	3	2
на другое	3	3
в понятии	2	2
все равно	2	2
все же	3	2
в частности	2	2
и ее	3	8
в природе	2	3
как таковая	3	2
есть само	2	2
что это	12	13
так и	5	5
об этом	6	3
но –	5	8
с точки	14	9
– диалектически	2	2
говорить о	4	11
не о	2	4
и в	24	15
не будет	3	2
она не	3	4
миф есть	12	10
другой стороны	2	2
все это	6	9
при этом	2	2
то в	2	5
и ни	3	2
и с	6	4
что мы	8	7
богословия и	4	2
все что	3	2
же и	2	2
тому как	4	4
что он	13	7
показывает что	2	2
есть слово	3	2
но для	2	2
также и	2	4
только тогда	3	5
бы только	2	4
веры и	4	6
и жизни	6	2
утверждаю что	5	5
в этом	8	11
своим собственным	2	2
сам собою	3	2
и материи	2	2
должно быть	3	2
от всего	6	3
как таковое	3	3
в мифе	13	6
природы и	2	2
это есть	8	13
в их	2	3
еще не	2	4
в то	5	6
т е	48	46
