3gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_3gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_3gram
в наше время	2	2
в романе идиот	3	4
по сути дела	3	3
записках из подполья	3	2
о том что	2	5
у достоевского в	3	3
с там же	9	2
в соответствии с	4	3
там же с	9	2
назиров р г	2	2
преступления и наказания	2	4
в одной из	2	2
по крайней мере	2	2
м м бахтин	4	6
по нашему мнению	4	5
в том что	2	6
л п гроссман	2	2
в преступлении и	10	4
в романах достоевского	12	13
в то же	7	13
в скверном анекдоте	4	3
и в то	2	2
и т п	2	2
в творчестве достоевского	4	4
достоевского м с	3	2
в записках из	3	3
то же время	7	12
преступлении и наказании	10	3
записки из подполья	2	6
