3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram
смысле этого слова	4	3
в развитии мышления	6	2
на то что	3	4
в свою очередь	2	2
по сравнению с	3	7
для того чтобы	7	18
в собственном смысле	6	3
о том что	3	4
в отличие от	6	2
к выводу что	2	2
по своему строению	2	5
и то что	2	3
в этом и	2	2
ни в какой	4	2
только потому что	2	3
одной и той	2	2
же как и	4	2
друг с другом	5	2
заключается в том	7	4
оба эти момента	2	2
то время как	4	2
внутренней речи и	2	4
как и в	2	3
мы могли бы	7	4
по отношению к	2	5
мышление и речь	3	2
то и другое	4	3
речь и мышление	2	2
в том что	17	13
того и другого	2	2
как мы видели	3	3
в то время	4	2
вместе с тем	10	4
мышления и речи	18	6
так как она	2	3
в этом отношении	3	3
с этой точки	2	4
и вместе с	2	2
все что мы	2	3
с самого начала	6	7
и той же	2	2
тем не менее	5	3
так же точно	3	3
в последнее время	3	2
бы сказать что	3	2
этой точки зрения	2	4
внутренней речи в	2	4
в известном смысле	2	2
собственном смысле этого	4	3
своей психологической природе	2	2
по своей психологической	2	3
с одной стороны	5	5
не может быть	2	4
так же как	6	7
входит в структуру	3	2
могли бы сказать	3	2
состоит в том	3	3
и речи в	2	2
