2gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_2gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_2gram
между тем	3	3
к его	3	2
нарративного высказывания	3	3
мы имеем	3	3
всего лишь	6	3
из этих	2	4
исключительно в	2	2
повествуемый мир	2	2
никогда не	6	4
в нем	5	4
и того	3	2
оно не	2	2
в своей	4	5
свидетеля и	2	2
так и	9	5
об этом	4	6
это не	3	3
двух или	2	2
прежде всего	6	4
в современной	2	3
в форме	5	2
событийного опыта	7	8
со стороны	6	8
в данном	10	11
и он	2	6
и в	13	11
одна из	3	4
не будет	2	2
но не	3	4
имеем дело	2	2
то есть	9	9
если бы	4	7
к тому	9	6
в качестве	14	14
[...] и	2	3
данном случае	6	8
перед нами	4	5
во сне	2	2
жизни в	6	2
для него	4	4
в свою	2	2
здесь не	2	2
в принципе	2	4
именно в	2	3
у него	6	7
при этом	14	19
в сознании	2	4
нарративного текста	2	4
времени и	4	9
ему в	2	2
и состоит	2	4
в результате	2	2
подобно тому	2	3
с собачкой	10	9
мира в	4	4
однако в	2	3
да и	3	2
того что	6	4
едва ли	3	3
точки зрения	5	5
сводится к	9	3
себя в	2	2
не менее	4	3
в чем	2	2
стало быть	2	3
все что	4	2
что он	5	3
тому как	2	3
столь же	2	5
повествуемое событие	2	2
так сказать	3	2
в своем	6	3
тем не	5	3
но для	2	3
зависит от	2	2
дело с	2	2
в таком	3	2
то же	4	8
в целом	3	3
а также	6	6
как бы	6	6
в равной	2	2
представляет собой	16	8
на протяжении	5	7
у чехова	9	6
ментального видения	2	4
что в	4	3
уже не	4	8
в этом	13	12
событийной цепи	4	2
в ялте	2	3
в жизни	6	3
классического реализма	2	2
роль в	2	2
героя и	2	2
из наиболее	2	4
о чем	2	4
присутствия в	2	3
не могло	2	2
человеческого опыта	2	3
героя в	6	3
никак не	3	2
за пределами	3	2
не сводится	7	2
его жизни	2	3
в мире	4	4
еще не	2	4
в то	5	4
и для	3	2
как раз	3	6
преосвященного петра	2	4
событийный статус	2	5
в самом	2	6
отличие от	5	2
только на	2	2
по мысли	5	3
а в	9	13
в известном	3	2
в литературе	4	4
в центре	2	3
повествования в	3	3
xix столетия	2	2
своего рода	9	10
тогда как	15	10
на то	2	2
и т.п	6	8
представляют собой	2	3
и т.д	4	6
о них	2	3
жизни и	4	6
могло бы	2	3
как это	4	3
внимание на	3	4
в глазах	4	3
в соответствии	3	5
о нем	3	3
по своему	2	2
центральное событие	2	2
не в	8	6
вольф шмид	2	6
начала и	2	3
такого рода	12	10
у нас	2	3
отношению к	5	3
персонажа и	2	2
в состав	3	3
и не	14	23
может быть	10	15
между собой	3	2
как правило	3	5
известном смысле	3	2
рассказывания в	4	2
и все	4	3
к себе	7	4
состоит в	12	10
о том	5	4
в этой	4	6
но зато	2	2
что у	2	4
в себе	8	6
картины мира	2	3
этом отношении	3	3
повествуемого мира	4	5
не вполне	2	2
только в	11	12
но и	15	27
не является	4	3
имеет место	2	4
соответствии с	3	4
того чтобы	3	4
нарративной истории	4	3
главного героя	2	3
сводятся к	2	2
не имеет	2	2
у нее	4	4
как в	5	4
или иной	3	4
данном рассказе	2	2
то что	8	9
как и	4	13
потому что	2	5
современной нарратологии	2	6
может служить	2	3
если не	2	2
один из	3	6
в области	2	2
две жизни	2	2
по большей	3	3
он сам	2	3
и его	3	10
в архиерее	2	2
самом деле	3	3
в слове	3	3
с ними	3	2
я в	5	2
не может	8	8
он не	5	3
в его	6	6
в той	5	2
с ним	4	2
событийности в	2	3
не только	26	31
с его	3	4
том что	13	7
можно сказать	6	5
теперь как	2	3
раз в	2	2
тем самым	5	5
нарратора в	2	2
и судии	2	2
и тем	5	4
отнюдь не	4	2
самого рассказывания	2	2
в случае	2	2
дамы с	7	2
действующих лиц	3	5
в обоих	2	2
а не	17	13
той или	3	5
хотя и	5	4
мы не	2	3
является событием	2	2
как у	4	2
в ней	2	4
и даже	3	2
в конечном	3	3
же время	3	4
в рассказе	4	8
художественного письма	2	3
же в	4	2
в тексте	8	13
в отличие	5	2
только что	2	2
по отношению	5	3
истории в	4	4
равной степени	2	2
в конце	4	2
хотя бы	2	2
нарратора и	3	2
при всей	4	3
ничего не	6	2
а во	2	4
в начале	2	3
но при	4	3
тому же	4	6
другого сознания	2	2
в детстве	2	2
в том	14	8
иначе говоря	7	8
и внутреннего	2	2
о ней	3	3
но в	6	7
с другой	5	2
в нашем	2	3
встречи с	2	2
центрального персонажа	2	3
сказать что	3	2
все же	6	4
большей части	3	3
в частности	11	14
