3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_3gram
по ту сторону	2	2
в конце концов	3	5
героя и его	2	3
во всяком случае	5	3
в мире достоевского	3	4
бы он ни	3	2
записок из подполья	3	2
в его целом	2	6
о себе самом	5	9
не входит в	2	3
к нему и	5	2
слово о себе	4	2
на самом деле	10	4
бы то ни	4	2
по отношению к	5	8
человек из подполья	7	4
подобно тому как	2	3
но в то	3	5
и в этом	2	5
в большинстве случаев	2	2
в самом деле	3	2
в романах достоевского	3	5
в то же	12	9
с точки зрения	4	13
же время не	2	3
человека из подполья	13	2
как раз и	2	3
и в то	5	2
хотя бы и	2	2
с другой стороны	3	3
и т п	6	3
не может быть	6	4
и не может	2	2
самого героя и	2	3
именно потому что	2	2
в этом смысле	4	10
в творчестве достоевского	3	4
то же время	12	9
он ни был	3	2
в произведениях достоевского	2	3
