3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram
того же самого	3	2
на этом вопросе	2	2
на высшую ступень	5	2
в одинаковой мере	2	2
обучения и развития	11	4
в свою очередь	3	2
и тот же	3	7
для того чтобы	14	5
что научные понятия	3	6
по сравнению с	5	3
о том что	4	3
ступень в развитии	2	3
в процессе обучения	5	4
между обучением и	12	2
в отличие от	2	2
и тому же	2	4
не знает что	2	2
и то что	2	4
в свое время	2	2
то что они	2	2
и научных понятий	2	4
друг с другом	7	7
заключается в том	5	14
умственного развития ребенка	5	6
мы видим что	2	2
на всем протяжении	2	2
мы могли бы	6	9
с помощью которого	2	2
один и тот	3	7
как мы видели	2	2
в том что	11	31
вместе с тем	2	3
связей и отношений	3	2
в этом отношении	5	7
подобно тому как	4	2
с этой точки	4	4
в самом деле	2	6
не только не	3	5
это значит что	4	2
с точки зрения	9	11
проблемы обучения и	5	2
одному и тому	2	4
то же самое	4	7
обучением и развитием	11	2
в этом случае	3	3
этой точки зрения	4	4
и того же	3	5
с другой стороны	2	8
в высшей степени	2	2
а с другой	2	2
можно было бы	3	5
то обстоятельство что	2	3
таким образом что	2	4
ступени в развитии	2	5
понятий таким образом	2	3
с одной стороны	3	9
научных и житейских	4	2
в частности научных	2	2
в школьном возрасте	18	5
к одному и	2	4
активности детской мысли	2	2
так же как	7	5
научных понятий в	3	5
развития научных понятий	2	8
понятий в школьном	3	2
могли бы сказать	2	2
одного и того	3	5
состоит в том	3	3
