2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_2gram
жизни на	2	2
произведения не	2	2
между тем	8	8
всего лишь	3	4
случайно в	2	2
никогда не	5	6
как будто	4	4
характер и	2	2
в художественном	4	2
в нем	3	3
можно было	3	5
в ответ	3	2
его в	2	3
так и	8	13
об этом	7	5
что она	7	4
несмотря на	3	4
в своей	6	10
с точки	2	3
это не	6	7
прежде всего	3	11
в ее	18	3
говорить о	2	3
и он	3	5
со стороны	3	3
и в	28	14
одна из	2	2
но не	4	3
не случайно	10	7
того или	2	2
если бы	6	3
если в	2	2
к тому	7	7
в качестве	4	9
она не	5	4
и т	4	11
перед нами	11	5
для него	5	10
жизни в	7	6
в человеке	3	2
этой связи	2	4
здесь не	2	2
именно в	2	7
все это	3	2
то в	4	4
при этом	11	12
у него	5	9
из нас	2	3
мысли о	2	2
своего я	3	3
с собачкой	9	8
человеческих отношений	2	5
и с	6	4
однако в	2	2
чеховского рассказа	9	9
да и	5	2
едва ли	3	3
точки зрения	2	5
не менее	5	5
себя в	8	4
что он	8	9
в своем	5	4
столь же	3	4
тем не	4	4
для нее	4	2
чеховского творчества	2	4
то же	6	9
зрелого чеховского	3	2
на этом	2	3
а также	2	3
как бы	5	7
личной тайне	4	2
человек в	3	2
у чехова	9	13
сих пор	2	2
что в	5	6
уже не	10	7
концепции личности	2	5
в этом	13	11
пока еще	3	2
в ялте	4	6
чехова в	2	3
героя и	3	5
однако и	2	3
лишь в	2	3
представляется нам	2	2
в это	3	2
или иного	2	2
для чехова	4	4
художественного мышления	2	6
а п	4	10
той же	2	2
в духе	2	4
его жизни	5	2
в мире	7	3
и о	4	4
еще не	3	7
внутренней жизни	4	2
в то	6	8
т е	2	4
и для	2	3
гурова в	2	2
как раз	4	4
человеческого бытия	2	3
личности в	3	7
было бы	3	6
со своим	3	2
в самом	5	4
во второй	2	5
и ему	3	2
с того	2	2
духовного самоопределения	2	3
только на	5	2
чеховской художественности	6	6
а в	6	7
на наш	4	2
в чеховском	6	3
человеческой жизни	6	4
своего рода	16	7
до сих	2	2
тогда как	7	7
и читателя	3	4
как мы	2	3
что я	2	2
то и	4	3
чеховского героя	3	2
жизни и	6	5
было видно	2	2
[...] не	2	5
не столько	2	2
внимание на	3	2
в глазах	6	6
о нем	2	3
т п	2	8
не в	13	7
отношению к	7	8
и ей	3	2
т с	2	4
и не	18	2
человека в	4	6
для других	3	2
может быть	8	5
финале рассказа	2	3
художественности в	2	2
на него	3	2
автора и	2	2
мы знаем	2	2
и все	7	4
к себе	3	5
состоит в	7	2
о том	12	12
в этой	5	8
мы читаем	2	2
я и	6	2
и к	2	4
что у	3	3
в себе	9	11
наш взгляд	4	2
и об	2	2
она в	2	3
только в	4	5
но и	9	5
себя и	2	2
в другом	2	2
что не	2	2
того чтобы	4	3
что же	2	2
рассказа в	4	6
анну сергеевну	2	3
как он	3	2
из них	2	4
у нее	10	2
дама с	2	3
в этих	3	5
казалось бы	6	7
как в	5	8
чехова как	3	3
строя художественности	4	2
только для	2	2
то что	6	8
анной сергеевной	2	2
как и	11	9
т д	2	3
потому что	2	5
своей жизни	4	2
анна сергеевна	2	17
за этими	2	2
один из	2	4
будто бы	3	3
том как	2	3
и это	3	4
личности и	2	2
внутреннего я	2	2
и его	5	5
самом деле	3	5
с анной	2	2
с ними	3	2
не может	4	7
он не	4	4
по преимуществу	3	3
в его	11	8
с ним	7	4
с его	5	5
художественного целого	5	4
не только	11	12
том что	19	16
можно сказать	6	4
первой половины	2	2
он уже	2	4
человеческого я	4	4
мы уже	3	4
раз в	3	2
в финале	2	3
видит в	2	3
одной из	3	2
та же	2	4
отнюдь не	2	3
чужой жизни	5	2
дамы с	2	4
тем что	6	3
а не	14	12
жизни как	5	2
же как	2	2
в ней	3	4
в конечном	4	2
на фоне	3	2
же время	4	8
и на	3	3
в рассказе	21	11
тому что	4	4
в тексте	5	3
не было	6	4
если можно	2	2
с ее	5	2
жизни так	2	2
[...] с	2	2
по отношению	7	8
для себя	6	3
и а	2	5
что на	3	2
ничего не	5	8
но еще	2	2
в т	2	3
впрочем и	2	2
превращается в	4	3
в том	15	12
а с	3	2
нет ничего	2	2
с внешней	2	2
но в	2	5
в городе	4	5
конечном счете	3	2
половины рассказа	2	2
и от	2	4
все же	2	3
приводит к	2	3
о двух	2	2
в частности	7	5
