2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram
не обязательно	3	2
связи с	5	3
так же	9	5
к нему	3	3
без всякой	2	2
которая является	2	4
являются символами	3	2
в данном	9	6
как символ	6	6
того или	2	3
и понятие	2	4
есть символ	14	11
к тому	3	3
перед нами	5	13
есть отражение	2	5
для нас	5	6
о которых	3	2
в результате	2	8
с этим	3	4
и как	6	3
едва ли	2	10
точки зрения	3	14
же самое	9	6
от нас	3	2
именно символ	2	4
нет и	2	2
что они	3	2
что символ	13	4
сказать о	2	3
как бы	14	4
что в	12	3
уже не	3	5
в жизни	3	3
этом смысле	6	3
кроме того	2	4
для символа	6	2
но как	6	3
никак не	4	4
тех или	3	4
и о	8	5
учения о	2	2
имеет ничего	2	2
есть ни	5	2
с другими	2	3
было бы	8	14
только на	4	2
таким образом	6	8
а в	4	4
однако не	3	4
или вернее	3	2
по этому	3	2
медного всадника	2	3
в других	5	2
но только	2	2
у нас	14	14
всех этих	7	6
и другое	2	3
с собой	2	3
в связи	4	3
в себе	15	12
является не	2	2
что здесь	3	6
только в	7	23
не будем	2	2
уже давно	2	4
не имеет	2	4
само собой	2	3
не то	2	2
символ или	2	2
или иной	5	13
только для	3	3
а это	2	3
если не	4	3
и это	9	2
есть именно	5	2
говорит о	3	2
сливаются в	3	3
более или	3	2
и его	3	10
и только	4	4
не может	8	5
он не	3	2
не есть	29	12
говоря уже	2	2
и если	6	5
по себе	15	11
со всеми	2	2
и тем	13	7
содержит в	7	8
в них	7	5
тем что	7	3
объективного мира	3	2
хотя и	6	5
а только	5	6
функции в	4	2
в котором	5	2
единичного и	3	2
не существует	6	5
нас выше	2	3
в том	9	20
символа мы	7	3
известного рода	3	5
но в	14	8
под него	2	2
символа от	3	2
является символом	4	6
в понятии	2	2
все равно	5	3
самой же	2	2
и ее	8	4
мы имеем	2	6
вообще не	2	3
как будто	3	11
что это	3	2
его в	6	2
так и	12	10
об этом	10	6
с точки	3	11
в ее	3	5
говорить о	6	2
и в	32	20
не будет	2	2
вместе с	2	5
