3gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_3gram
на то что	2	3
во всяком случае	3	4
борис годунов говорит	2	2
о том что	11	4
но все же	2	2
в г в	3	3
языке бориса годунова	2	5
над борисом годуновым	5	7
не в том	2	3
в языке бориса	2	5
между царем и	3	2
в том что	16	11
к тому что	5	2
в печатном издании	3	2
что борис годунов	3	2
в этом отношении	9	4
и в этом	2	2
с точки зрения	2	4
с тем что	2	3
в своей трагедии	4	2
с самого начала	3	2
тем не менее	2	2
работы над борисом	3	2
в трагедии пушкина	10	2
о борисе годунове	3	2
по этому поводу	2	2
с другой стороны	3	4
то обстоятельство что	4	5
и т п	3	6
в борисе годунове	28	38
к борису годунову	3	2
и т д	6	2
бориса годунова в	3	2
в том смысле	2	2
в его трагедии	2	2
что пушкин не	4	2
бориса годунова и	5	3
до сих пор	5	2
бориса годунова не	5	3
в предисловии к	2	2
что в борисе	2	2
