2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram
между тем	2	5
мы имеем	3	5
всего лишь	8	8
в рамках	3	3
никогда не	3	5
в ответ	2	2
его в	2	3
так и	15	14
несмотря на	3	2
что она	2	2
с точки	2	2
прежде всего	3	5
говорить о	6	3
в контексте	5	2
и он	2	2
со стороны	3	9
в данном	8	4
и в	16	18
но не	4	7
имеем дело	3	4
не случайно	8	8
вместе с	2	2
то есть	9	10
модус художественности	3	2
для всех	2	2
к тому	7	6
в качестве	11	12
данном случае	5	3
для него	4	6
именно в	3	3
другой стороны	2	5
все это	4	3
при этом	10	11
по крайней	3	4
целого в	2	2
сочетании с	7	3
в результате	3	5
подобно тому	3	3
эстетическая модальность	2	2
по поводу	3	3
едва ли	3	3
точки зрения	4	3
сводится к	3	2
отношения к	2	2
себя в	2	4
не менее	4	4
тому как	3	2
в своем	4	4
столь же	4	4
тем не	3	2
или точнее	2	2
жизненная позиция	2	2
вступает в	2	3
то же	4	3
в целом	8	3
к этому	2	3
а также	7	2
как бы	10	10
в противоположность	2	2
представляет собой	8	5
что в	2	9
уже не	4	5
в этом	18	14
эстетического объекта	3	2
эстетической модальности	2	5
роль в	2	3
лишь в	9	5
не мог	3	2
того же	4	5
о чем	2	4
с одной	5	2
художественной реальности	20	3
той же	2	5
в их	3	6
в мире	6	5
еще не	2	6
нашего времени	4	3
в то	2	3
и для	2	2
значительной степени	2	2
как раз	4	7
было бы	3	3
как уже	3	2
с их	2	3
в самом	6	5
во второй	4	7
в борьбе	2	2
отличие от	2	2
таким образом	2	4
очевидным образом	2	2
о его	4	2
а в	3	10
в первой	3	8
своего рода	12	8
тогда как	19	20
и т.п	8	5
и т.д	3	2
он и	2	3
не столько	3	3
как это	6	3
в значительной	2	2
внимание на	2	4
во всех	4	2
в соответствии	2	2
не в	4	6
такого рода	2	5
отношению к	4	7
и не	12	12
может быть	6	9
в произведении	2	3
даже в	2	2
художественности в	2	2
в себя	4	2
как правило	4	5
однако при	3	2
произведения как	2	2
о себе	2	2
и все	3	2
состоит в	8	4
в одном	2	4
о том	7	6
в этой	9	6
художественного высказывания	2	2
я и	3	3
и к	5	4
в себе	7	2
что касается	3	3
картины мира	2	4
этом отношении	3	3
не с	4	2
только в	4	2
но и	12	13
дело не	2	3
текста в	6	6
сказать что	2	2
коммуникативного события	4	11
и сам	3	4
что и	3	5
как в	4	3
или иной	3	5
являет собой	3	3
то что	7	2
как и	14	14
ответ на	3	3
один из	2	2
только не	4	3
одну из	2	2
говорит о	5	2
личности и	2	2
и его	4	13
как смерть	2	3
уже говорилось	4	2
я в	3	5
он не	2	6
не может	4	2
по преимуществу	4	2
в его	2	7
как говорит	2	3
крайней мере	3	4
не есть	2	4
не только	16	22
художественного целого	7	6
с самим	3	2
по себе	2	4
том что	12	12
можно сказать	4	4
ли не	2	4
тем самым	4	4
отнюдь не	8	4
на себя	5	2
жизненной позиции	3	2
могут быть	10	2
в случае	2	5
тем что	3	2
той или	3	3
а не	10	9
хотя и	4	2
и даже	9	8
этого слова	3	2
жанровой стратегии	3	2
о своей	2	2
в конечном	3	2
же время	2	3
и на	6	4
в сочетании	7	3
в общем	2	2
в тексте	24	9
в отличие	2	2
с ее	2	3
его как	2	3
по отношению	4	7
в конце	4	5
те же	2	2
жизненных позиций	2	2
ничего не	9	3
тому же	4	3
одной стороны	4	2
можно отметить	2	2
в том	12	9
иначе говоря	11	2
но в	6	2
как пишет	2	2
на его	3	2
с другой	6	7
конечном счете	2	2
в сущности	4	5
ключ к	3	3
в пределах	9	4
героя нашего	3	2
приводит к	3	4
в частности	16	12
