3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram
и в самом	10	2
на то что	12	8
во всяком случае	2	6
для того чтобы	8	5
о том что	3	7
в сущности говоря	7	3
смысле этого слова	2	2
на самом деле	2	2
заключается в том	6	6
не в том	2	5
легко показать что	3	2
то время как	2	5
все то что	6	3
мы видим что	7	2
мы не можем	2	2
только в том	2	3
в том что	11	9
в то время	2	5
заключается не в	2	2
вместе с тем	2	2
в какой мере	2	3
в самом деле	18	7
с точки зрения	9	2
указывает на то	3	3
то же самое	8	2
при помощи которого	2	2
с другой стороны	5	5
что у него	2	3
и т п	5	15
с одной стороны	5	5
и т д	4	8
мы увидим что	7	2
совершенно ясно что	5	14
до сих пор	5	3
мы видели что	2	2
