2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram
своей трагедии	12	4
между тем	5	6
пушкина он	3	2
он был	2	3
связи с	4	3
что такое	2	7
карамзина в	3	3
пушкин говорит	4	4
время пушкин	2	2
пушкин писал	4	3
никогда не	3	2
что это	3	16
не на	2	2
на почве	2	5
как на	9	6
борисе годунове	32	40
так и	9	5
об этом	6	5
несмотря на	2	3
в своей	7	4
речь идет	4	2
с точки	2	4
и всегда	2	2
прежде всего	5	10
но это	3	4
пушкина к	5	11
была не	2	2
со стороны	2	3
драматический язык	2	2
в одной	2	2
и в	29	25
не потому	2	2
но не	3	2
в русской	5	6
которую он	2	2
вместе с	7	2
если бы	2	4
в келье	3	2
утверждать что	2	2
к тому	10	2
в качестве	5	4
для пушкина	21	13
что пушкин	15	11
должна была	2	4
и т	9	8
для него	4	3
должен был	4	2
другой стороны	3	5
все это	11	8
языке бориса	2	5
времени и	4	2
пушкина не	6	3
связь с	2	4
связан с	3	3
другое дело	3	3
о которых	2	3
в результате	2	2
борис годунов	28	26
с этим	3	7
и с	4	4
пушкина была	5	2
трагедии пушкин	3	2
интересно что	3	6
самого начала	3	2
его трагедии	8	7
в устах	2	4
того что	5	5
точки зрения	5	7
том смысле	2	2
пушкина это	2	8
пушкина о	2	2
пушкиным в	14	6
в отношении	2	2
не менее	3	2
что он	13	19
что борис	4	2
феодора иоанновича	2	2
так что	3	11
была бы	5	4
что эта	3	2
тем не	2	2
обстоятельство что	4	5
нет и	2	2
драматической литературы	2	2
что они	2	2
с тем	7	4
то же	2	5
в чисто	2	2
к этому	4	3
нельзя не	3	3
как бы	5	6
а также	2	4
сих пор	5	2
что в	19	19
в этом	21	24
предисловии к	2	2
в году	3	5
не мог	3	2
борьба с	2	2
того же	2	2
кроме того	4	3
в это	2	2
пушкина и	9	6
в языке	5	8
в их	3	3
в духе	2	2
xix века	3	4
как например	2	8
русской истории	3	2
в то	2	7
т е	10	8
так как	2	3
у пушкина	12	22
борисом годуновым	10	10
как раз	8	3
в статье	2	2
было бы	5	7
в рукописи	2	4
то обстоятельство	4	5
в самом	7	2
г пушкин	2	2
нет никакого	2	3
и др	2	4
в речи	4	4
годунова не	6	3
таким образом	10	10
в печатном	4	4
ее в	2	2
своего рода	5	3
до сих	6	2
на нее	3	2
к сожалению	2	2
у карамзина	4	7
борису годунову	3	3
по этому	2	3
действующие лица	3	3
на то	2	5
вовсе не	6	2
что я	2	3
на вопрос	3	3
свою трагедию	12	3
все эти	2	3
например в	3	4
в сцене	7	6
трагедии пушкина	22	12
в некоторых	2	3
здесь пушкин	2	5
не столько	7	2
внимание на	4	2
это был	2	2
т п	3	6
пушкин хотел	2	3
между прочим	12	3
сочинений пушкина	5	2
о борисе	3	2
печатном издании	3	2
не в	4	6
пушкин в	5	10
самого пушкина	3	8
у нас	3	4
самозванца в	2	2
но все	7	2
такого рода	2	5
но также	4	2
и не	9	10
может быть	2	19
трагедии не	3	3
пушкина на	4	4
вот что	3	3
ни в	3	5
смотрел на	3	3
такое же	2	2
афанасия пушкина	3	2
б в	2	3
в трагедии	17	6
у шекспира	4	5
о том	17	8
из его	2	7
в этой	2	14
в россии	3	6
при помощи	4	2
и к	4	4
над борисом	5	7
с самого	3	2
трагедии в	4	3
пушкина как	3	13
что у	4	2
этом отношении	9	4
только в	2	6
но и	19	9
в другом	4	3
не является	3	3
дело не	2	2
работы над	4	2
была напечатана	2	2
не имеет	2	2
орлеанская дева	2	3
бориса годунова	74	34
и более	2	3
в этих	3	11
в корчме	3	2
для того	7	2
как в	3	6
он писал	3	2
то что	11	12
как и	2	4
т д	6	2
потому что	9	5
нас не	2	2
из трагедии	3	2
в течение	6	4
в которой	11	4
в борисе	28	39
в особенности	2	4
в области	2	6
от карамзина	2	2
и это	2	5
и здесь	3	3
что этот	2	3
трагедия была	2	2
и пр	8	13
с этой	2	3
отметить что	2	5
и его	6	3
это было	2	8
подчеркнуть что	3	3
до конца	3	3
самом деле	3	2
царем и	3	2
это слово	3	3
он не	9	5
годунов говорит	3	2
не может	2	7
в г	7	12
в его	13	12
трагедия пушкина	5	2
с его	2	3
не только	19	12
к борису	3	2
том что	27	15
и народом	2	2
пушкина в	18	21
одной из	3	2
во время	2	3
а как	4	4
в каком	2	4
в них	2	5
своего времени	4	2
в словаре	2	2
того времени	4	3
действующих лиц	4	4
в виду	7	2
академического издания	4	2
тем что	3	19
а не	5	5
раньше чем	4	3
годунова в	4	2
в ней	7	4
годунова а	2	3
не был	3	2
на это	2	2
и на	6	6
что именно	2	2
пушкин не	12	9
в общем	3	4
во всяком	3	4
тому что	7	3
пушкина но	4	3
между царем	3	2
не было	3	4
г в	5	6
его как	2	3
только что	2	2
в котором	7	5
этому поводу	2	2
в конце	2	6
пушкина с	7	5
пушкинской трагедии	10	2
ничего не	4	4
в начале	3	4
года в	3	2
но они	2	2
во многом	2	2
годунова как	3	2
всяком случае	3	4
в том	27	20
в предисловии	3	2
в эту	3	4
а с	3	2
но в	8	5
пушкин и	9	3
и что	6	3
годунова и	6	3
на его	2	4
с другой	4	5
но он	3	3
и по	3	2
сказать что	2	4
все же	6	4
его не	3	2
в какой	2	3
