3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_3gram
он и не	2	2
в конце концов	3	3
и в самом	3	2
той или иной	4	3
в мире достоевского	3	2
в его целом	2	3
о себе самом	5	3
смысле этого слова	2	2
в братьях карамазовых	3	2
но все же	2	2
в той или	4	2
друг с другом	4	2
протяжении всего романа	2	2
по отношению к	6	8
или иной степени	2	2
человек из подполья	7	2
в том что	2	4
друг к другу	3	3
мы можем сказать	2	2
подобно тому как	2	2
но в то	4	3
мы уже говорили	5	2
и в этом	2	6
в большинстве случаев	2	2
в романах достоевского	4	5
нет ни одного	2	2
в то же	10	3
с точки зрения	2	9
можем сказать что	2	2
на протяжении всего	4	2
не может быть	3	6
и не может	2	2
в этом смысле	3	5
то же время	10	3
в произведениях достоевского	2	3
