2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram
чувственных восприятий	2	3
не так	2	3
заметить что	6	6
в действительности	3	2
между тем	9	6
связи с	3	6
в сознание	2	10
мысли а	2	2
что такое	7	2
сам по	4	4
что например	3	2
из этих	2	4
никогда не	3	4
по мере	7	5
что это	7	3
так же	4	2
и при	2	3
мы в	3	3
в нем	7	9
оно не	2	3
влияние на	2	4
его в	4	3
так и	6	5
что она	2	3
тем как	2	2
есть в	5	2
это не	7	3
есть нечто	5	3
после того	2	2
но это	3	3
со стороны	3	3
в состоянии	2	6
и в	23	24
таком случае	2	2
за собою	2	2
не можем	5	6
вместе с	6	11
то есть	34	30
если бы	13	11
тот же	2	5
значение и	2	2
на деле	2	3
с нею	3	2
независимо от	6	9
и т	7	6
для него	5	10
в свою	2	6
для нас	14	31
как оно	2	2
нас в	2	2
новое восприятие	2	4
все это	5	2
при этом	15	13
внутренняя форма	2	4
в сознании	4	23
этого последнего	2	3
по крайней	5	5
света и	2	2
и потому	10	2
человека и	3	3
подобно тому	2	4
мысли о	2	4
по поводу	4	6
в ряду	6	6
с этим	7	7
и есть	3	2
что хотя	3	4
или что	2	2
уже в	5	5
их в	3	2
и как	2	6
что мы	10	11
самого начала	2	2
что слово	10	2
образом в	5	4
или если	2	2
того что	14	7
того как	6	7
том смысле	2	4
языка и	3	3
не менее	5	5
стало быть	8	4
все что	2	3
что он	4	4
тому как	2	4
столь же	2	5
так сказать	5	4
так что	5	10
сами по	2	7
тем не	4	6
только тогда	5	3
с тем	7	4
судя по	2	5
мысль о	6	7
в таком	4	4
не от	3	5
то же	14	12
внутренней формы	10	2
или от	3	2
и тот	3	2
если и	2	2
как бы	5	9
и их	3	5
для говорящего	3	2
в мысли	3	5
между ними	4	2
что в	17	16
во многих	2	3
и притом	2	3
уже не	3	4
к ней	2	2
и проч	18	10
в этом	23	8
сих пор	4	4
если б	4	5
должно быть	5	2
в нее	3	4
только от	3	3
в языке	16	3
бы ни	2	5
той же	3	3
в ребенке	2	4
еще не	3	4
но мы	2	3
в то	4	6
и для	2	3
и вообще	2	3
так как	14	10
и у	2	3
с другими	4	5
проч но	2	2
было бы	8	13
в сравнении	4	2
душевной жизни	3	7
в самом	3	4
мы бы	2	2
себе в	3	3
в нас	3	3
таким образом	24	11
а в	5	8
что если	6	6
вместе и	2	5
и вместе	3	4
из себя	2	2
без сомнения	4	4
которые не	2	3
до сих	4	4
мы говорим	7	3
тогда как	4	10
внешняя форма	3	3
на то	7	5
очевидно что	7	3
вовсе не	7	9
вопрос о	2	2
имеет для	5	3
то и	4	9
на вопрос	4	3
только потому	4	2
например в	3	3
все эти	3	2
в других	2	4
допустим что	5	2
не могут	2	7
