3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_3gram
и прежде всего	2	3
друг на друга	2	2
в этом мире	2	6
для того чтобы	5	7
мы уже сказали	2	3
в пределах отдельных	2	2
в греческом романе	22	3
пределах отдельных авантюр	2	2
и его жизни	4	2
в том что	2	3
как мы уже	8	4
не только в	2	5
греческом романе и	2	2
в этом отношении	3	2
мы уже говорили	3	3
не для того	2	2
в то же	6	4
с точки зрения	2	8
но и в	2	3
к себе самому	4	3
и в то	5	3
в последующей истории	4	2
том числе и	2	2
и т п	8	11
связи с этим	2	2
в связи с	5	7
пространства и времени	3	2
равно как и	2	2
может быть и	2	2
то же время	9	4
до сих пор	3	2
и в особенности	2	3
в авантюрном времени	5	2
в том числе	4	3
