3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_3gram
той или иной	3	3
в значительной степени	2	2
о том что	5	6
мы имеем дело	4	3
в отличие от	2	2
так и не	5	4
по крайней мере	4	3
в сочетании с	3	7
как и в	4	3
по отношению к	7	4
в том что	7	6
героя нашего времени	2	3
в ответ на	2	2
в этом отношении	3	3
к тому же	3	4
подобно тому как	2	3
не только не	3	2
в то же	3	2
с точки зрения	2	2
тем не менее	2	3
в данном случае	3	5
с другой стороны	5	2
с одной стороны	2	4
едва ли не	2	2
в конечном счете	2	2
то же время	3	2
