2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram
понятно что	2	2
никогда не	9	9
так же	18	13
утверждает что	5	2
произведения искусства	4	2
в данном	4	3
увидеть что	2	2
к тому	7	8
для нас	2	3
по сравнению	2	4
с этим	4	2
он дает	2	2
и как	7	7
едва ли	4	2
точки зрения	17	7
того как	4	2
же самое	6	5
в психологии	7	3
говорит что	7	6
стиха и	2	2
материал для	4	2
что они	7	5
в целом	4	5
как бы	6	19
басни и	3	2
и говорит	2	3
что в	20	24
отличается от	2	2
что всякое	2	4
совершенно верно	2	4
никак не	4	6
он в	3	2
той же	8	3
учения о	2	3
в него	2	4
было бы	11	5
исходит из	5	4
только на	5	4
в нас	3	13
таким образом	21	20
а в	4	4
художественного произведения	5	3
что если	6	6
этой теории	2	2
очевидно что	2	2
жизни и	4	6
это только	3	3
но только	4	3
как она	4	4
и другое	2	2
по существу	3	2
в себе	2	5
художественное произведение	6	5
только в	7	5
в искусстве	21	6
на искусство	3	2
точно как	3	2
сравнению с	2	4
содержания и	2	4
и это	4	8
говорит о	2	4
что самое	2	2
и его	7	6
и только	2	3
до конца	3	2
не может	17	9
он не	6	3
могли бы	2	4
совершенно справедливо	6	3
по себе	12	7
как только	2	4
что по	2	2
и тем	4	6
в них	2	4
что тот	3	2
тем что	9	6
и заключается	3	4
и следовательно	2	2
не существует	2	3
когда говорит	3	8
в том	37	27
но в	3	5
s и	3	2
но он	3	3
все же	4	7
в частности	3	4
мы имеем	4	8
как будто	7	6
что это	8	8
и при	2	2
полагал что	2	2
действия и	2	4
так и	3	3
об этом	3	3
из этого	4	2
с точки	10	2
в ее	2	3
и в	32	30
вместе с	2	12
оба эти	2	2
должен был	2	4
другой стороны	2	5
все это	5	2
при этом	13	8
представить себе	3	2
знаем что	4	2
указывает что	4	5
этот вопрос	3	4
и с	4	2
психологии искусства	15	5
эта теория	2	5
что он	13	17
именно потому	2	3
с и	12	5
показывает что	3	3
в стихе	7	4
с тем	11	8
в этом	13	14
мы получим	2	2
видим что	3	3
что искусство	4	4
формы и	6	3
в их	3	3
еще не	2	5
в то	5	2
образом все	2	2
как раз	5	13
в самом	12	14
отличие от	2	2
и до	4	2
до сих	5	5
в басне	15	2
к искусству	5	3
конце концов	3	2
во всех	3	2
т п	8	3
себе и	2	2
и не	10	6
показать что	5	12
мы можем	3	7
состоит в	3	3
в одном	2	2
на самом	5	2
так в	2	3
это значит	3	2
не как	3	3
совершенно не	4	6
и когда	4	9
но и	10	6
того чтобы	14	20
психологической теории	3	2
этих двух	2	7
при таком	4	3
казалось бы	2	4
для того	13	20
и поэтому	4	3
материала и	2	5
увидим что	2	9
потому что	21	23
искусство как	4	2
в которой	2	3
в каждом	2	2
художественном произведении	5	2
которых мы	3	4
когда он	10	5
в его	2	4
том и	2	2
не могли	3	4
это может	2	2
в каком	3	3
которого мы	3	2
с можно	2	2
в своих	9	5
имеет дело	3	4
же как	4	2
мы не	3	3
одной и	4	2
указывает на	3	4
из которых	2	4
в ней	5	4
что именно	3	5
действие и	2	3
чтобы показать	3	2
и совершенно	3	4
том чтобы	3	2
что на	4	3
и отсюда	2	3
это в	2	3
а с	2	5
оказывается совершенно	3	2
художественной формы	12	3
в нем	4	7
можно было	7	3
если же	4	2
что она	16	6
в своей	3	4
несмотря на	4	5
это не	2	3
в состоянии	2	3
но не	2	7
то есть	21	13
если бы	6	11
тот же	6	3
данном случае	4	3
и т	10	7
и так	3	2
что оно	2	6
противоречие с	2	2
искусства и	9	5
по самому	3	2
каким образом	3	2
что с	3	6
так что	3	3
в таком	2	3
дело с	8	5
во всем	3	2
на этом	3	6
совершенно ясно	7	7
стоит только	2	5
когда она	4	3
это совершенно	2	2
из того	2	3
и для	4	6
и той	4	2
же самую	2	2
на том	2	2
если мы	12	16
искусства как	2	4
мы видим	4	8
полагает что	2	3
искусства с	2	3
одного и	2	2
в прежней	2	2
мы должны	3	3
во внимание	2	5
для этого	3	9
как он	2	2
из самых	2	2
в этих	2	3
и таким	2	2
то что	21	37
что все	9	6
ответ на	2	5
и здесь	2	6
говорит он	4	2
с этой	4	2
как говорит	3	4
с его	2	2
заключается в	12	8
не только	12	16
том что	21	21
на этот	2	3
могут быть	4	8
от того	4	4
а не	7	8
и даже	5	2
мы находим	2	2
то это	3	4
именно на	2	5
само по	3	2
и на	5	3
с но	2	2
есть только	5	2
с той	4	2
он говорит	5	3
ничего не	4	2
все время	6	20
показать как	2	4
в сущности	7	12
сказать что	7	9
сам по	4	3
сейчас же	5	8
как на	5	11
есть нечто	2	3
и он	3	2
искусства в	5	2
на деле	8	8
в свою	3	3
того что	8	8
в отношении	3	2
чувства и	2	5
сводится к	2	5
что при	9	3
сами по	3	2
была бы	2	3
то же	13	7
сих пор	5	5
в которых	3	2
образом и	4	2
того же	2	2
так как	12	9
и мы	6	16
меньше всего	2	3
же точно	10	6
за основу	2	3
с двумя	2	3
на то	11	17
вовсе не	2	3
все эти	7	2
не могут	3	3
как это	4	7
в романе	2	2
не в	8	8
может быть	18	11
его с	2	2
всякий раз	2	2
ни в	2	3
с таким	8	2
мы знаем	7	2
и сейчас	3	3
и все	4	4
о том	6	10
в этой	6	5
и к	3	4
на примере	2	4
что у	5	3
этом отношении	5	3
онегина и	2	3
совершенно правильно	4	2
из них	4	2
когда мы	2	6
что и	17	3
как в	9	3
как и	10	6
т д	2	3
один из	3	5
для психологии	2	3
ясно что	7	6
