2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_2gram
не так	3	2
такой же	2	2
никогда не	3	11
в нем	3	3
так же	3	5
сон о	2	2
в своей	4	6
так и	2	6
об этом	2	4
что она	2	4
это не	4	7
для достоевского	4	2
в современном	2	3
прежде всего	4	8
но это	5	5
и он	2	2
в одной	2	3
по сути	4	3
по нашему	5	4
и в	21	20
одна из	2	3
но если	3	2
человеческой личности	3	2
в русской	5	2
не случайно	4	2
вместе с	2	3
но не	3	5
то есть	12	5
к жизни	2	2
и т	3	13
для него	6	3
жизни в	6	3
в принципе	2	4
именно в	2	6
романе идиот	4	3
г м	2	3
все это	10	6
при этом	7	8
у него	7	6
достоевский не	4	5
что достоевский	7	3
по крайней	2	2
и наказания	5	2
м с	5	7
преступление и	5	2
человека и	4	3
и с	3	8
достоевского не	6	8
уже в	3	2
с там	2	9
с глава	3	2
ф м	2	3
не менее	6	2
в чем	2	4
что он	6	6
это уже	5	2
так сказать	2	2
так что	2	2
в черновиках	2	4
из подполья	13	6
романах достоевского	15	13
преступления и	5	2
зависит от	2	2
место в	3	3
в целом	4	6
то же	13	7
в кн	2	3
к этому	2	3
подпольный человек	22	3
как бы	17	11
в ту	3	2
чувство стыда	2	2
что в	12	7
творчестве достоевского	5	4
уже не	3	3
же с	2	9
в этом	6	8
в творческой	2	2
р г	2	2
нашему мнению	5	4
в году	7	16
в бесах	3	6
своих героев	3	3
героя и	2	2
реализм достоевского	2	2
по мнению	3	3
для автора	2	2
подпольного человека	11	3
в их	3	3
в духе	2	4
xix века	6	7
в мире	4	5
в скверном	3	4
в то	15	10
так как	3	3
у пушкина	2	3
и у	2	2
фомы опискина	2	2
м бахтин	6	4
так достоевский	2	3
личности в	2	2
в самом	3	3
отличие от	2	2
таким образом	5	10
записки из	6	2
а в	6	4
в первой	2	2
в литературе	2	2
л п	2	7
у достоевского	28	30
своего рода	4	3
сути дела	3	3
вовсе не	5	2
что я	3	2
в творчестве	6	5
преступлении и	4	11
не столько	2	2
достоевского в	12	9
романа достоевского	3	5
в соответствии	3	4
т п	2	2
в романе	10	15
не в	2	4
т ii	2	2
и не	7	9
человека в	6	3
может быть	5	8
герои достоевского	4	4
и наконец	2	2
болевой эффект	2	13
в виде	3	2
мире достоевского	3	3
скверный анекдот	4	3
о том	6	5
настасьи филипповны	2	4
скверном анекдоте	3	4
в россии	3	2
в этой	5	5
при помощи	2	2
достоевского м	4	3
я не	3	2
в себе	2	3
только в	5	2
но и	3	8
что не	2	3
достоевского к	3	2
в дальнейшем	3	4
там же	3	9
н м	2	4
соответствии с	3	4
известно что	2	2
быть может	2	3
между людьми	2	2
из них	2	2
романов достоевского	3	5
самого достоевского	3	2
творчество достоевского	3	4
представление о	3	7
достоевского это	4	3
несравненно более	2	2
как в	8	4
в записках	4	3
то что	8	3
как и	12	6
потому что	5	7
достоевского и	3	2
в которой	3	2
один из	4	3
достоевский в	3	7
назиров р	2	2
он сам	6	3
и его	6	9
когда он	2	4
самом деле	2	2
в лице	2	4
не означает	2	2
он не	8	3
не может	4	7
и далее	2	2
по преимуществу	2	2
в его	13	10
крайней мере	2	2
одним из	4	3
и наказании	4	10
с ним	3	3
не только	7	13
записках из	3	3
более не	2	2
том что	11	4
тем самым	7	4
а затем	2	3
одной из	4	3
отнюдь не	5	4
князь мышкин	3	6
в своих	5	3
иван карамазов	2	7
могут быть	2	2
а не	5	6
хотя и	3	4
достоевским в	4	2
и даже	3	5
первой части	3	4
и других	3	2
же время	12	7
отказаться от	2	2
и на	7	5
в основном	4	6
героев достоевского	3	5
в рассказе	3	3
в отличие	2	2
что его	2	2
в котором	6	3
в наше	2	2
в романах	13	13
в основе	2	2
во многом	7	2
в том	7	8
но в	7	4
п гроссман	2	2
наше время	2	2
на его	3	4
с другой	3	2
в преступлении	6	10
достоевского с	8	5
и от	4	4
м м	11	11
и по	3	2
и достоевский	2	4
все же	5	5
приводит к	2	2
в частности	2	2
