3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_3gram
то ни стало	2	2
во всяком случае	5	4
художественного произведения в	2	2
формальный метод в	2	3
в зависимости от	3	2
так и в	3	4
т е как	2	2
на самом деле	3	6
и не в	2	2
прежде всего в	2	3
в своей статье	3	3
как мы видели	4	2
в применении к	2	2
в этом пункте	2	2
того или иного	4	2
в истории литературы	2	2
и в этом	5	2
в большинстве случаев	3	2
в то же	5	8
сами по себе	2	2
с точки зрения	7	13
только и может	2	2
пр и пр	4	2
и т п	9	4
связи с этим	3	2
и пр и	4	2
и т д	5	8
в связи с	10	2
не может быть	10	5
и не может	3	2
русский формальный метод	2	2
может быть и	3	3
то же время	5	8
дело идет о	2	2
формального метода в	2	4
