3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_3gram
той или иной	3	3
в значительной степени	2	2
о том что	6	5
мы имеем дело	3	4
в отличие от	2	2
так и не	4	5
по крайней мере	3	4
в сочетании с	7	3
как и в	3	4
по отношению к	4	7
в том что	6	7
героя нашего времени	3	2
в ответ на	2	2
в этом отношении	3	3
к тому же	4	3
подобно тому как	3	2
не только не	2	3
в то же	2	3
с точки зрения	2	2
тем не менее	3	2
в данном случае	5	3
с другой стороны	2	5
с одной стороны	4	2
едва ли не	2	2
в конечном счете	2	2
то же время	2	3
