3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part6_wordlist_3gram
о том что	5	2
кн ii гл	7	2
в другом месте	4	3
или меньшей степени	2	3
в эпоху рабле	5	5
в большей или	3	3
в том что	2	6
большей или меньшей	3	3
народной смеховой культуры	2	3
как мы уже	6	2
в большинстве случаев	4	6
мы уже говорили	11	7
в третьей книге	2	4
в то же	5	10
с точки зрения	2	2
сих пор еще	3	4
в той же	4	3
кн iii гл	4	2
в данном случае	2	2
существенную роль в	2	2
с другой стороны	2	2
с одной стороны	4	2
в средние века	4	2
уже говорили что	2	5
в эпизоде с	3	2
то же время	5	10
до сих пор	3	8
и в особенности	2	2
