3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram
есть не что	2	4
в бесконечный ряд	11	7
в конце концов	4	3
всякий знак есть	2	3
а не просто	4	3
взятые сами по	2	4
хотя и не	2	2
той или иной	4	8
во всяком случае	3	6
то есть в	4	3
же самое время	4	4
на этот раз	2	3
и если мы	3	2
в каком случае	3	2
что всякий символ	3	2
о том что	5	3
вовсе не является	3	2
сам по себе	7	6
сама по себе	4	8
может быть даже	2	3
и как бы	2	2
по своему содержанию	2	2
и то что	2	7
только потому что	2	2
тех или иных	2	4
на самом деле	4	2
по крайней мере	2	5
и тем самым	3	2
литературы и искусства	4	2
и вовсе не	4	4
в настоящее время	3	2
в том что	5	9
не есть ни	5	3
не что иное	2	4
что же касается	3	4
необходимо сказать что	2	2
ни в каком	3	4
того или иного	2	3
в таком случае	6	4
и в этом	2	6
д и т	3	4
не имеет ничего	2	3
в таких случаях	2	2
о том как	2	2
когда мы говорим	2	3
в то же	4	4
только то что	4	2
содержит в себе	7	3
сами по себе	3	6
с точки зрения	3	2
и тем не	8	3
тем не менее	18	10
имеет ничего общего	2	3
даже и не	2	4
то же самое	9	7
в этом случае	2	5
ничего общего с	7	2
это вовсе не	2	4
как раз и	7	4
в данном случае	8	7
также и то	2	4
можно сказать что	3	2
с другой стороны	3	5
общего с тем	2	2
здесь перед нами	3	2
можно было бы	2	3
не есть символ	5	4
дело в том	3	3
еще не есть	4	2
т д и	4	4
и т д	10	13
в связи с	4	7
точно так же	4	3
есть также и	2	2
не может быть	2	5
у нас выше	2	2
что иное как	2	4
может быть и	3	3
до сих пор	3	2
вовсе не есть	6	8
всякий символ есть	2	2
мы должны сказать	2	3
указывает на нечто	4	2
символ потому что	2	2
