2gram	Ircho_Komedia_partition_part3_wordlist_2gram	Ircho_Komedia_partition_part2_wordlist_2gram
между тем	4	2
он был	2	4
и ее	2	2
связи с	3	5
ни было	2	2
при всем	3	2
из комедии	5	2
наряду с	6	2
в нем	6	3
можно было	4	2
кто из	2	2
его в	4	8
к нему	3	5
так и	12	4
больше чем	5	2
из этого	2	2
речь идет	3	5
об этом	2	7
что она	2	4
в своей	3	5
что ни	2	3
в ее	2	3
говорить о	2	3
то ли	2	4
это не	2	2
со стороны	2	11
прежде всего	4	5
ничуть не	2	6
и в	26	22
но если	3	3
в жены	2	5
комедии и	4	3
более чем	4	5
в силу	2	2
вместе с	9	9
если бы	9	8
х годов	2	2
тот же	2	2
к тому	12	6
в качестве	5	2
iv в	34	5
и т	2	4
в комедии	19	10
аттической комедии	15	6
отношение к	2	5
н э	7	2
все это	3	5
у него	4	4
отрывки из	3	2
по всему	3	3
афинах в	3	2
с этим	5	3
и с	5	4
третейском суде	7	7
уже в	4	2
однако в	2	4
перед лицом	2	2
этой комедии	2	4
даже не	3	3
едва ли	14	7
точки зрения	4	4
хвастливого воина	4	4
не менее	4	5
до начала	3	2
что он	5	8
в своем	6	8
столь же	9	3
после этого	2	2
так что	5	6
нет и	2	4
с тем	5	4
дело с	3	3
судя по	4	3
то же	3	7
в целом	4	3
ситуация в	3	3
к этому	5	6
и хотя	2	2
как бы	2	3
к концу	3	2
сих пор	2	9
что в	9	5
за то	4	2
в этом	10	8
плавта и	2	2
менандра с	2	3
бы то	2	2
роль в	2	2
законных детей	2	5
цитаты из	2	3
того же	3	6
о чем	3	7
с одной	2	3
меньше чем	2	2
начала iii	2	2
комедий менандра	5	3
нового времени	2	2
ii в	4	2
в их	3	2
в мире	2	2
еще не	6	6
в изображении	2	2
в самиянке	7	12
в то	6	6
и для	4	4
так как	4	11
в комедиях	5	2
в брюзге	11	2
по имени	4	3
меньше всего	4	4
как в	3	2
античной литературы	5	2
было бы	8	3
с планго	2	5
в самом	4	9
на основании	5	2
со временем	3	3
в афинах	10	6
отличие от	2	2
в остриженной	2	2
таким образом	6	12
о его	4	2
у того	2	3
а в	3	7
в аттической	2	2
что для	4	2
до сих	2	9
как мы	4	2
вовсе не	2	4
в других	2	3
как это	4	5
менандр и	3	2
в глазах	2	8
во всех	3	2
т п	2	4
в ненавистном	2	5
по своему	2	3
не в	2	4
г и	5	2
отношению к	3	3
но все	3	4
и еще	2	3
возможно что	3	3
и не	14	21
человека в	3	2
может быть	11	6
ни в	5	10
мы знаем	3	2
и все	2	2
мы можем	3	3
в одном	2	2
и во	2	2
из его	2	2
о том	6	8
как видно	2	2
в этой	3	3
сразу же	4	4
и к	2	3
в связи	3	4
с участием	2	2
с самого	2	4
больше того	4	2
к благополучному	4	2
деметрия полиоркета	3	2
что касается	3	2
опять же	5	2
монолог фрасонида	2	2
комедии только	3	2
бы в	2	4
но и	10	4
как видим	2	2
не является	2	4
плавтовского пиргополиника	2	3
менандра в	6	3
фр ii	14	3
комедии менандра	4	7
аристофана византийского	3	2
не по	4	7
iii в	6	6
того чтобы	6	6
к свадьбе	2	3
до нас	4	4
то время	3	2
как он	3	3
из них	7	5
не имеет	3	3
и сам	3	5
представление о	2	2
что и	7	8
в доме	6	10
из дому	3	4
для того	5	6
тут же	2	4
и поэтому	3	4
и особенно	3	2
приемного сына	3	3
ст сл	6	6
идет о	2	3
и после	2	2
с хрисидой	2	5
то что	6	4
как и	4	3
потому что	6	10
в развитии	2	2
в течение	2	3
в которой	5	3
новой комедии	12	6
если не	2	3
отец и	2	3
менандра и	8	2
в третейском	7	6
один из	5	3
и это	2	2
и здесь	6	4
ясно что	8	6
тех пор	3	3
или иначе	3	2
с этой	3	3
в двух	6	3
и его	12	6
не может	3	3
он не	2	5
в г	17	2
в его	4	8
в образе	3	2
чем в	2	3
и я	2	2
и если	2	2
одним из	2	2
брак с	3	2
хоть и	5	2
не только	7	5
с его	5	3
том что	9	13
с женой	2	2
в какой	2	3
ли не	7	2
а затем	5	2
до тех	3	3
одной из	4	3
на этот	4	3
во время	6	6
на себя	7	4
этот раз	4	2
в них	4	3
отнюдь не	2	4
в уже	2	2
от того	2	2
в виду	2	2
тем что	3	5
хотя и	4	5
мы не	2	2
из которых	3	2
на это	2	3
в ней	3	4
то это	2	5
целый ряд	2	2
же время	3	5
новой аттической	4	5
и на	7	2
менандр не	2	2
во всяком	2	3
тому что	4	2
молодого человека	9	14
то ни	2	3
не было	3	2
а на	2	2
дошедших до	2	2
по отношению	3	5
в котором	3	2
что его	3	5
так или	3	2
в конце	2	7
хотя бы	2	4
с дочерью	3	3
в начале	4	3
тому же	11	6
в плен	2	2
все время	2	2
у менандра	6	6
всяком случае	2	3
одной стороны	2	3
менандра как	2	3
молодой человек	9	8
что их	2	2
в том	11	12
ст и	2	5
но в	3	5
и что	2	6
с другой	2	4
друг друга	3	4
в щите	10	3
время как	2	2
все же	4	4
свою вину	2	2
в частности	4	3
