2gram	Ircho_Komedia_partition_part1_wordlist_2gram	Ircho_Komedia_partition_part3_wordlist_2gram
между тем	2	5
он был	4	2
и ее	2	3
ни было	2	2
при всем	2	2
на которые	3	2
из комедии	2	6
наряду с	2	2
в нем	3	4
так же	4	3
его в	8	3
к нему	5	2
так и	4	5
несмотря на	4	4
речь идет	5	3
прежде всего	5	5
комедии и	3	3
со стороны	11	2
и в	22	22
в силу	2	2
которую он	2	2
вместе с	9	2
х годов	2	3
тот же	2	3
к тому	6	6
в качестве	2	4
iv в	5	5
и т	4	9
в комедии	10	22
ни одной	2	2
аттической комедии	6	9
в свою	7	2
отношение к	5	3
н э	2	3
другой стороны	2	5
все это	5	5
при этом	7	5
у него	4	3
в результате	2	4
афинах в	2	2
и с	4	3
однако в	4	3
уже в	2	5
перед лицом	2	3
этой комедии	4	5
даже не	3	2
едва ли	7	7
точки зрения	4	4
в отношении	4	6
не менее	5	3
же самое	3	2
до начала	2	2
все что	3	2
что он	8	6
именно потому	2	2
столь же	3	2
ни малейшего	3	2
тем не	3	2
что они	2	4
судя по	3	2
то же	7	6
в целом	3	3
к этому	6	4
и хотя	2	2
а также	2	4
сих пор	9	2
что в	5	6
к ней	8	2
в этом	8	3
все остальные	2	3
бы то	2	2
одного из	3	6
не мог	2	3
того же	6	2
с одной	3	3
нового времени	2	5
в их	2	4
и о	2	3
еще не	6	2
в то	6	10
т е	16	13
так как	11	4
в комедиях	2	9
как раз	6	3
по имени	3	3
было бы	3	2
на основании	2	3
в самом	9	2
в афинах	6	21
отличие от	2	2
таким образом	12	8
а в	7	6
только один	2	2
до сих	9	2
на то	3	3
как мы	2	4
вовсе не	4	2
и дают	2	2
ему и	2	2
в других	3	2
сл в	2	2
как это	5	3
конце концов	2	4
здесь и	2	2
т п	4	5
по своему	3	3
не в	4	6
г и	2	3
отношению к	3	3
и еще	3	3
за пределы	2	2
и не	21	8
может быть	6	9
а сам	2	2
ни в	10	6
на него	4	4
мы знаем	2	2
и все	2	3
мы можем	3	4
в одном	2	8
и во	2	2
из его	2	4
о том	8	8
как видно	2	2
в этой	3	7
даже если	2	2
е в	2	2
с участием	2	3
в себе	4	2
что касается	2	2
вывод что	2	2
опять же	2	2
этом отношении	2	3
и без	2	2
как из	2	3
но и	4	11
в другом	2	4
из всех	2	2
до нас	4	5
то время	2	5
из них	5	10
и сам	5	3
то ни	3	2
в доме	10	2
как в	2	5
что и	8	4
и особенно	2	4
идет о	3	3
то что	4	2
как и	3	9
потому что	10	5
еврипида и	2	3
в течение	3	3
в которой	3	6
один из	3	5
в области	2	2
в и	2	2
ясно что	6	4
и здесь	4	2
и его	6	8
до конца	4	2
не может	3	2
он не	5	3
в г	2	11
в его	8	5
в образе	2	3
что к	4	2
не только	5	10
хоть и	2	2
том что	13	12
ли не	2	4
раз в	2	2
одной из	3	3
на себя	4	2
во время	6	5
около г	3	2
в них	3	3
в своих	2	2
в уже	2	2
тем что	5	4
хотя и	5	3
мы не	2	3
из которых	2	2
и даже	3	5
же время	5	4
и на	2	3
во всяком	3	2
г в	2	4
который в	3	2
дошедших до	2	3
по отношению	5	3
в котором	2	4
только что	7	2
в конце	7	6
примерно в	3	4
ничего не	3	3
в начале	3	3
тому же	6	6
всяком случае	3	2
одной стороны	3	3
в том	12	11
но в	5	4
на его	2	5
с другой	4	5
аналогии с	2	2
в сущности	2	2
время как	2	4
все же	4	3
в частности	3	3
