2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
не так	2	3
связи с	5	3
том или	3	3
так же	5	5
и мышления	2	3
к нему	2	3
без всякой	5	2
в данном	10	6
как о	3	3
от всякой	2	2
того или	7	3
и понятие	2	4
к тому	3	3
перед нами	2	13
есть отражение	3	5
для нас	9	6
есть тоже	3	2
о которых	3	2
в результате	4	8
с этим	5	4
и как	4	3
но никак	2	2
едва ли	9	10
точки зрения	2	14
же самое	6	6
от нас	3	2
нет и	3	2
при условии	6	2
что они	3	2
как бы	4	4
ли кто-нибудь	2	2
что в	11	3
уже не	8	5
отличается от	2	4
этом смысле	5	3
ни с	2	4
кроме того	5	4
но как	6	3
никак не	11	4
тех или	3	4
и этот	3	3
и о	4	5
имеет ничего	2	2
есть ни	3	2
с другими	5	3
было бы	8	14
в корне	2	2
только на	9	2
таким образом	4	8
а в	4	4
по этому	3	2
если оно	3	2
но только	4	2
у нас	18	14
пусть хотя	2	3
всех этих	4	6
конечно не	2	3
чистом виде	3	2
в связи	5	3
нам кажется	2	2
в себе	5	12
является не	2	2
только в	14	23
не будем	4	2
уже давно	5	4
уж во	2	2
не имеет	7	4
не то	2	2
или иной	5	13
тоже является	4	3
а это	3	3
но даже	3	4
если не	4	3
и это	5	2
есть именно	5	2
более или	4	2
и только	4	4
это будет	3	2
не может	13	5
он не	2	2
не есть	33	12
говоря уже	4	2
и если	3	5
по себе	8	11
и тем	4	7
содержит в	2	8
в них	2	5
тем что	4	3
хотя и	3	5
а только	6	6
в условиях	2	3
или иные	3	4
или других	3	2
не существует	6	5
в том	12	20
но в	6	8
все равно	3	3
все же	8	2
в частности	5	2
и ее	2	4
относится к	6	2
вообще не	4	3
как будто	6	11
из этого	2	3
так и	7	10
об этом	2	6
его в	3	2
говорить о	10	2
и в	35	20
не будет	11	2
вместе с	2	5
в качестве	2	10
здесь не	2	7
ли сказать	2	2
чтобы не	2	2
является здесь	2	2
другой стороны	5	6
все это	4	9
при этом	3	6
представить себе	4	2
и с	10	7
и ни	3	5
уже в	3	4
не являются	3	2
да и	10	5
что мы	14	3
и уж	5	2
же и	2	3
что он	4	8
также и	12	13
с тем	3	4
в этом	17	9
и вполне	4	5
еще не	10	7
в то	6	4
что иное	3	2
как раз	8	4
в самом	5	2
другими словами	6	3
только один	3	2
это и	3	4
слова то	3	2
каждый раз	3	5
то и	4	5
как знак	2	4
во всех	2	4
себе и	2	3
и не	37	28
смысле слова	7	15
в виде	6	22
и наконец	3	4
даже и	18	13
мы можем	6	3
на самом	4	5
это значит	4	10
идет речь	2	2
при помощи	8	10
совершенно не	2	3
как же	4	2
и без	5	6
не просто	11	16
но и	16	14
учение о	2	3
и независимо	2	2
того чтобы	2	2
казалось бы	7	3
для того	3	3
тут же	8	3
потому что	13	15
что всякий	5	3
только не	3	4
тем более	10	4
по содержанию	2	2
еще более	2	2
в его	7	3
в той	2	8
можно сказать	6	5
тем самым	7	4
в каком	4	6
были бы	2	3
мы все	3	3
мы не	7	7
из которых	2	3
указывает на	5	4
в ней	2	7
никто не	3	2
а может	2	2
мы ни	2	2
не было	3	3
или в	2	5
каком случае	3	3
нет ничего	2	3
здесь как	2	4
далеко не	4	2
в зависимости	2	3
можно было	5	4
что она	4	4
несмотря на	3	4
прежде всего	11	11
но это	6	6
но если	4	6
но не	4	5
для всех	2	3
то есть	39	27
можно только	2	2
если бы	4	8
тот же	4	2
данном случае	5	5
независимо от	2	3
и т	6	4
тут и	2	4
по крайней	6	6
так что	11	6
в таком	11	6
а также	2	6
и притом	3	2
можно ли	6	3
всякого рода	4	3
то более	2	3
перестает быть	3	2
и для	6	4
что без	2	2
как угодно	3	2
себе в	2	3
как именно	3	2
подобного рода	4	11
а именно	6	2
некоторого рода	7	2
или по	4	2
по своему	5	6
если мы	9	5
значит что	4	8
между собой	5	2
или даже	3	4
на этой	2	2
иное как	3	2
мы должны	3	3
те или	7	5
что не	5	4
не является	7	10
не что	3	2
для этого	3	2
в истории	3	3
и более	5	3
в этих	4	5
то что	38	15
между собою	4	2
для всякого	2	2
будто бы	5	2
в области	6	3
стороны и	4	2
это было	2	2
по преимуществу	2	2
заключается в	4	2
не только	24	24
том что	19	12
тот или	5	2
или другой	5	3
уже и	3	3
модель для	2	2
той или	5	14
а не	10	7
и даже	11	9
то это	3	3
и на	5	3
есть только	8	2
и весьма	2	2
во всяком	13	8
сама по	4	2
ни о	4	4
для себя	9	2
в математике	4	4
в чистом	3	2
хотели бы	2	2
всяком случае	10	4
здесь мы	3	3
и от	3	6
в нашем	3	12
однако это	2	2
сказать что	24	7
необходимо сказать	6	3
для них	3	2
понятия символа	3	9
есть в	4	7
обойтись без	3	2
только при	2	6
есть нечто	7	9
лет назад	3	2
свидетельствует о	2	2
зависимости от	2	3
в одно	2	6
тоже есть	5	7
