2gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_2gram
связи с	3	3
формы мышления	3	2
никогда не	5	2
так же	11	16
и мышления	3	11
речь идет	5	2
в данном	2	2
ничего кроме	2	2
к тому	6	4
перед нами	5	5
одно и	6	2
к мысли	2	2
по сравнению	4	6
у ребенка	13	6
в результате	8	4
с этим	5	6
и как	9	5
в сновидении	3	2
пути развития	5	2
едва ли	2	2
точки зрения	24	26
того как	2	2
же самое	7	3
говорит что	3	4
экспериментальное исследование	2	3
что они	14	3
в целом	11	20
как бы	7	11
мы называем	2	3
что в	19	14
все другие	2	2
той же	6	2
переходную ступень	2	3
нас к	3	8
в первую	4	3
было бы	8	4
смысле этого	7	3
между этими	2	6
таким образом	25	26
а в	2	2
мышления с	4	6
что если	2	2
высшей степени	2	4
и т.д	2	5
приходит к	3	3
в школьном	5	3
что эти	2	2
образом что	4	3
с помощью	31	13
по существу	3	4
в себе	10	6
только в	10	6
к этим	2	2
не имеет	2	2
сравнению с	3	5
школьного возраста	2	3
если не	2	3
и это	2	3
что этот	2	2
гипотезы и	2	2
и его	5	6
мы пытались	2	5
ребенка в	4	8
собственном смысле	7	5
не может	6	12
могли бы	9	6
оно заключается	2	2
значения слова	8	3
интересующей нас	4	2
со всеми	3	2
а затем	2	5
и тем	8	6
нашего исследования	4	8
тем что	7	6
все основные	2	2
связей и	3	2
мысли и	2	6
в том	42	24
ребенка это	2	4
но в	3	5
все же	5	3
приводит к	3	4
в частности	5	2
между двумя	2	2
по мере	4	4
что это	2	3
к мышлению	5	3
и при	4	2
так и	5	5
с точки	11	18
и в	20	23
вместе с	8	9
в качестве	21	9
исследования в	2	4
этом вопросе	2	4
другой стороны	9	9
при этом	12	4
представить себе	2	5
о развитии	5	4
словом и	4	2
и с	4	9
со всей	2	4
уже в	6	3
что мы	7	5
что он	6	7
показывает что	2	3
столь же	3	6
на первый	4	2
и те	4	2
с тем	6	7
детской речи	2	9
мы говорили	3	3
ребенка не	7	2
в равной	3	2
в этом	24	17
понятий ребенка	4	3
должно быть	3	2
к пониманию	3	2
мы и	2	3
в их	12	3
как уже	4	7
в самом	6	7
в ходе	4	8
мышления и	14	40
к выводу	2	4
которые не	2	3
форм мышления	2	3
ключом к	4	2
это положение	5	4
связь между	2	6
мышления в	16	8
себе и	3	2
и не	8	9
который по	2	2
в виде	3	2
мы можем	5	6
из основных	4	3
бы в	3	5
но и	9	14
формами мышления	4	2
того чтобы	7	17
ребенка и	9	5
для того	5	15
и поэтому	3	2
с психологической	2	2
потому что	12	6
в собственном	7	5
в которой	3	3
к известному	2	4
слова и	5	5
когда он	3	2
что ребенок	12	4
в слове	2	2
в его	11	14
факт что	2	3
бы сказать	3	2
ко всей	2	2
и отношений	3	2
мышления что	2	3
и речи	2	38
всех остальных	2	3
тем самым	7	5
в каком	2	3
ребенка с	4	2
мышление как	4	2
же как	6	6
одной и	5	2
указывает на	2	2
этого слова	11	4
особенности детской	3	2
ребенок не	2	4
детского развития	3	3
но вместе	2	4
мышлении ребенка	6	2
развитии детского	9	2
все более	2	3
том чтобы	2	3
в детском	4	9
а с	2	4
эти понятия	3	2
на всем	2	2
в какой	3	5
такой же	2	3
мышлением и	4	3
можно было	6	3
в своей	7	4
прежде всего	2	10
в высшей	2	4
в современной	2	2
ребенка по	2	2
но не	3	4
переходе от	2	2
если бы	5	5
данном случае	2	2
для него	2	2
именно в	3	6
в одинаковой	2	2
что оно	4	3
в наши	2	2
и мышление	3	4
этого положения	6	2
говорили выше	3	2
что с	4	2
взрослого человека	8	6
развития в	6	2
во всем	3	3
которая в	2	2
на этом	3	2
первую очередь	4	3
представляет собой	3	11
между ними	4	2
очень рано	2	2
и которое	2	3
с одной	9	8
детской мысли	17	13
развития научных	10	3
детского мышления	24	34
в речи	4	2
и той	4	2
мышление не	3	2
как известно	3	3
всем протяжении	2	2
в настоящей	2	4
целом и	2	5
если мы	10	2
друг с	7	4
тогда когда	8	3
мы видим	10	4
даже в	2	2
между собой	5	5
виде в	2	2
в основу	2	2
