3gram	Potebnia_Myslijsyk_partition_part1_wordlist_3gram	Potebnia_Myslijsyk_partition_part4_wordlist_3gram
в том и	2	2
для того чтобы	4	2
по мере того	4	3
там же с	2	7
и как бы	2	3
только потому что	2	2
потому что в	3	4
не в том	2	4
по крайней мере	5	2
и в том	2	3
на этот вопрос	2	2
то и другое	2	2
не что иное	2	2
только в том	2	6
по отношению к	8	13
не могут быть	2	2
в том что	7	13
а в том	2	3
в таком случае	2	2
подобно тому как	2	3
и в этом	4	6
все более и	2	2
не только не	3	2
что язык есть	3	5
в то же	3	3
с точки зрения	3	3
с тем что	4	3
тем не менее	4	6
а между тем	4	3
только тогда когда	4	4
таким образом что	2	2
и т п	4	2
само по себе	5	4
и т д	3	4
более и более	2	2
если бы не	2	2
заключает в себе	8	2
не может быть	5	9
но тем не	2	3
в том смысле	2	4
что в языке	2	2
что иное как	2	2
с этим последним	2	2
потому что мы	2	2
то же время	3	3
мере того как	4	3
что и в	2	3
потому что как	2	2
