3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_3gram
в русской сказке	6	2
на том свете	4	2
мы имеем и	3	2
в ином мире	6	4
во всяком случае	2	2
мы имеем в	4	2
что и в	2	2
о том что	4	2
но все же	2	2
то время как	3	2
мы уже видели	3	3
как и в	2	2
по отношению к	2	2
как мы видели	2	5
в том что	5	5
здесь мы имеем	4	3
в сказке о	3	3
в то время	3	2
мы видели как	2	3
в этом случае	6	5
в данном случае	3	3
том что в	2	2
с другой стороны	8	7
в некоторых случаях	2	3
мы уже знаем	2	2
с одной стороны	7	2
и т д	8	15
точно так же	2	2
все эти материалы	2	2
это еще не	2	2
имеем и в	3	3
случай мы имеем	2	2
до сих пор	4	5
таким образом и	2	2
в царство мертвых	4	2
мы видели что	3	3
