3gram	Potebnia_Myslijsyk_partition_part1_wordlist_3gram	Potebnia_Myslijsyk_partition_part2_wordlist_3gram
но на деле	2	2
в свою очередь	6	4
точно так как	4	6
для того чтобы	2	2
может быть названо	2	3
и может быть	2	2
как бы ни	3	2
по мере того	4	3
сама по себе	2	3
так и в	2	3
только потому что	2	2
не в том	2	4
в сравнении с	2	2
по крайней мере	5	2
а вместе и	4	2
то и другое	4	2
в том что	7	13
не могут быть	3	2
удовольствия и неудовольствия	2	4
в таком случае	2	2
подобно тому как	4	3
в то же	2	3
с самого начала	2	3
humboldt т с	10	21
тем не менее	5	6
lotze т с	6	4
а между тем	4	3
только тогда когда	2	4
с другой стороны	2	5
и того же	6	2
и т п	3	2
само по себе	2	4
с одной стороны	3	3
и т д	3	4
заключает в себе	4	2
не может быть	2	9
но тем не	3	3
в том смысле	4	4
в этом смысле	2	4
то же время	2	3
мере того как	4	3
одного и того	6	2
