3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part2_wordlist_3gram
в творчестве рабле	5	2
о том что	3	2
в романе рабле	4	14
кн ii гл	2	2
в другом месте	2	3
или меньшей степени	3	3
в эпоху рабле	4	5
в большей или	3	3
как мы видели	2	2
большей или меньшей	3	3
народной смеховой культуры	7	3
как мы уже	3	2
но в то	3	2
мы уже говорили	5	7
в то же	6	10
с точки зрения	5	2
рабле и его	2	3
сих пор еще	2	4
и в то	2	5
можно сказать что	2	2
с другой стороны	3	2
в эпоху ренессанса	2	2
с одной стороны	3	2
в эпоху возрождения	2	2
не может быть	4	2
в средние века	8	2
то же время	6	10
до сих пор	4	8
