2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram
поскольку в	2	3
для них	2	3
между тем	2	2
мы имеем	2	2
связи с	5	7
разного рода	6	4
никогда не	7	7
как будто	3	3
в нем	13	6
так же	9	5
можно было	3	2
есть в	5	2
его в	6	6
к нему	3	3
так и	12	7
об этом	10	4
больше чем	2	2
несмотря на	3	6
с точки	3	8
в своей	8	22
это не	6	2
прежде всего	10	6
в ее	3	3
свидетельствует о	3	2
раз и	9	2
в данном	9	2
как символ	6	9
и в	32	30
не будет	2	2
таком случае	6	2
но не	9	7
откуда и	2	2
вместе с	2	7
то есть	33	21
к тому	3	2
в качестве	2	4
данном случае	8	2
а потом	2	3
для нас	5	10
здесь не	7	7
нас в	2	4
именно в	4	3
другой стороны	3	6
тоже не	7	2
при этом	6	4
по крайней	2	4
в настоящее	3	3
перейти к	4	3
настоящее время	3	3
и делает	3	2
совсем не	4	3
мы будем	2	2
в результате	2	7
по поводу	4	2
и с	2	5
однако в	2	3
уже в	3	2
по его	2	2
да и	3	2
и как	6	6
поэтому и	2	2
гораздо более	2	4
того что	7	3
едва ли	2	4
того как	3	5
точки зрения	3	10
в символе	17	2
в отношении	3	3
не менее	19	5
в чем	3	2
что он	7	7
в своем	5	11
так что	6	11
тем не	18	5
но для	3	2
также и	11	12
с тем	5	5
что они	3	3
в таком	9	2
и является	7	2
то же	10	2
символ здесь	2	2
как бы	14	6
а также	4	3
сих пор	3	2
что в	12	5
и притом	4	5
оказывается что	2	4
уже не	3	6
в этом	19	17
и вполне	3	4
этом смысле	6	3
того же	3	4
кроме того	2	2
в это	2	2
здесь в	3	2
никак не	4	8
тех или	3	2
мы и	4	2
он в	2	3
дело в	3	2
и о	8	5
еще не	9	3
в то	6	4
и для	4	6
и вообще	4	9
так как	11	6
что иное	2	3
нисколько не	3	5
как раз	13	5
но уже	5	2
было бы	8	4
в самом	6	5
и до	2	2
таким образом	6	13
а в	4	6
этого символа	2	2
ее в	2	2
как именно	2	4
или вернее	3	3
до сих	3	2
подобного рода	5	7
на то	8	2
по этому	3	2
вовсе не	35	8
а именно	12	12
то и	6	2
некоторого рода	5	4
прежде чем	3	2
как мы	7	2
без всякого	2	2
все эти	8	2
он и	8	5
в других	5	3
не могут	2	2
точно так	4	3
конце концов	4	6
только и	3	3
или иных	2	2
не в	4	7
у гёте	4	3
такого рода	7	2
но только	2	3
у нас	14	7
но все	3	4
об его	3	2
и не	31	12
может быть	14	7
и другое	2	3
ни в	7	4
смысле слова	7	3
в виде	15	10
не больше	3	2
даже и	8	4
и все	7	9
мы можем	4	5
о том	11	12
в этой	10	10
при помощи	13	6
по существу	2	2
в связи	4	7
иное как	2	3
в себе	15	4
нет никакой	2	3
что здесь	3	2
только в	7	9
не просто	23	5
но и	9	13
что не	3	2
не что	2	3
в дальнейшем	4	7
о своем	2	2
учение о	3	3
того чтобы	9	2
из них	3	2
не то	2	2
как в	4	2
для того	8	3
только для	3	2
то что	42	18
как и	3	7
и которые	5	2
потому что	16	13
в науке	2	2
нас не	2	3
в которой	2	5
если не	4	4
один из	4	2
в области	2	2
и сама	2	2
и который	2	3
ясно что	3	4
что этот	2	5
говорит о	3	7
он сам	2	3
и его	3	6
и только	4	2
в целях	2	2
самом деле	6	2
он не	3	3
не может	8	5
в его	6	12
крайней мере	2	4
и то	6	5
мы выше	4	2
с ним	3	3
не только	17	18
по себе	15	2
том что	12	17
можно сказать	5	6
на тот	2	2
со всеми	2	2
бесконечный ряд	12	2
отнюдь не	10	4
и тем	13	3
в них	7	2
человека а	2	2
уже и	3	2
в виду	6	3
тем что	7	2
а не	15	5
хотя и	6	8
мы не	2	2
указывает на	14	3
мы находим	2	7
и даже	11	14
именно на	3	2
и на	8	6
есть только	8	3
во всяком	7	2
же в	4	3
гораздо больше	2	2
обратить внимание	3	3
свой собственный	2	2
что его	3	3
в котором	5	2
в самой	3	3
этому поводу	3	2
в конце	6	8
для себя	3	5
хотя бы	3	2
или в	4	4
ничего не	10	2
еще и	5	4
все время	2	3
но еще	2	2
всяком случае	3	2
в бесконечный	11	2
в том	9	12
вообще и	4	2
в таких	2	2
но в	14	9
и что	9	6
на его	2	2
с другой	3	6
но он	3	5
является символом	4	2
сказать что	13	9
далеко не	5	4
необходимо сказать	2	4
