3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part5_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part6_wordlist_3gram
и прежде всего	2	3
то есть в	2	2
нужно сказать что	2	2
в другом месте	4	2
в эпоху рабле	5	3
гротескной концепции тела	4	3
в том что	2	6
со всеми его	2	2
в этом отношении	3	5
в большинстве случаев	4	2
мы уже говорили	11	2
в третьей книге	2	2
в то же	5	9
с точки зрения	2	2
есть здесь и	4	2
сих пор еще	3	2
в данном случае	2	2
кн iii гл	4	3
существенную роль в	2	2
кн i гл	2	2
в средние века	4	2
в xvii веке	2	2
жизни и смерти	2	2
в эпизоде с	3	4
то же время	5	9
а также и	2	4
до сих пор	3	3
