3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part1_wordlist_3gram
в романе рабле	2	14
или меньшей степени	4	3
в большей или	4	3
были связаны с	2	2
в том что	6	6
большей или меньшей	4	3
народной смеховой культуры	21	3
как мы уже	5	2
с народной культурой	2	2
и др в	2	2
и т.п в	2	2
в большинстве случаев	2	6
значительной своей части	2	2
мы уже говорили	7	7
в узком смысле	2	2
с точки зрения	3	2
сих пор еще	3	4
существенную роль в	2	2
том числе и	7	2
дело в том	2	2
с одной стороны	2	2
в эпоху возрождения	3	2
в средние века	4	2
уже говорили что	2	5
до сих пор	4	8
в том числе	10	3
