3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_3gram
то есть в	4	2
о том что	2	2
в братьях карамазовых	2	2
или меньшей степени	2	2
в большей или	2	2
как и в	3	3
в том что	2	3
большей или меньшей	2	3
как мы уже	2	3
на пороге в	2	3
в преступлении и	2	2
в большинстве случаев	8	4
в то же	5	5
с точки зрения	9	2
можно сказать что	2	4
к себе самому	3	6
том числе и	3	10
с самим собою	3	4
более или менее	3	3
то же время	5	5
до сих пор	8	5
преступлении и наказании	2	2
в том числе	4	11
