3gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_3gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_3gram
по большей части	3	3
свидетеля и судии	2	2
той или иной	3	4
о том что	4	2
мы имеем дело	2	2
в отличие от	5	2
в соответствии с	3	4
и тем самым	2	4
в равной степени	2	2
по отношению к	5	3
в том что	8	5
не только в	6	6
в этом отношении	3	3
к тому же	4	5
в современной нарратологии	2	2
подобно тому как	2	3
дамы с собачкой	7	2
в то же	3	4
имеем дело с	2	2
тем не менее	4	3
в данном рассказе	2	2
но и в	2	2
в данном случае	6	8
можно сказать что	3	2
в известном смысле	3	2
и все же	2	2
не может быть	2	4
не сводится к	6	2
то же время	3	4
состоит в том	4	2
