3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part3_wordlist_3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_3gram
как мы знаем	2	4
в конце концов	2	2
вот как определяет	3	2
во всяком случае	5	6
для того чтобы	3	4
в отличие от	2	2
в зависимости от	3	5
так и в	3	2
говорит в шкловский	4	2
на самом деле	3	12
поэтической конструкции и	2	2
как мы видели	4	2
в том что	2	3
к тому что	2	2
вместе с тем	4	3
в процессе этого	2	2
в этом отношении	7	3
все без исключения	2	3
в реальном времени	4	3
в истории литературы	2	3
в большинстве случаев	3	4
до известной степени	3	2
в самом деле	5	4
в то же	5	7
сами по себе	2	2
с точки зрения	7	14
не следует что	2	2
и в то	3	2
с другой стороны	3	5
в высшей степени	4	2
и т п	9	5
и т д	5	6
в связи с	10	4
не может быть	10	14
и не может	3	4
материал и прием	3	2
в этом смысле	2	2
то же время	5	7
в поэтическую конструкцию	2	2
здесь и теперь	4	6
