3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
же точно как	2	3
в конце концов	2	3
и в самом	2	4
на то что	16	6
в том и	2	2
по сравнению с	4	2
для того чтобы	19	13
о том что	6	4
и таким образом	2	2
сам по себе	3	4
в сущности говоря	8	4
и когда он	2	2
одной и той	2	4
и то что	3	2
с таким образом	2	8
мы знаем что	2	4
на самом деле	2	5
заключается в том	6	10
мы видим что	3	2
на этот вопрос	3	2
в том что	14	17
к тому что	6	2
в этом отношении	3	5
в самом деле	5	11
имеет дело с	2	2
сами по себе	2	3
с тем что	3	3
ту же самую	2	2
с точки зрения	2	10
и той же	2	4
указывает на то	2	2
то же самое	3	6
так же точно	5	7
в данном случае	2	4
и что в	3	2
с другой стороны	5	2
можно было бы	3	4
и т п	3	8
потому что все	2	2
само по себе	2	3
том и заключается	2	2
и т д	3	2
заключает в себе	4	2
не может быть	2	8
совершенно ясно что	5	6
таким образом все	2	2
так же как	2	4
до сих пор	5	5
в том чтобы	2	3
состоит в том	2	2
когда говорит что	2	2
