3gram	Bakhtin_slovoVRomane_partition_part1_wordlist_3gram	Bakhtin_slovoVRomane_partition_part2_wordlist_3gram
своего и чужого	2	2
той или иной	5	9
в свою очередь	2	2
с чужим словом	10	8
а вовсе не	2	2
во всяком случае	2	5
и в сущности	2	2
в нем в	3	3
во всех его	2	7
в зависимости от	4	3
так и в	3	3
языков в пределах	5	3
единый и единственный	2	2
в той или	3	9
язык и мир	3	5
или иной степени	3	9
не могут быть	2	2
как мы уже	2	2
не только в	2	2
но в то	3	4
в большинстве случаев	5	6
в романе в	3	3
зрения на мир	2	4
в то же	4	12
в узком смысле	4	10
с точки зрения	3	8
слово в романе	3	2
и там где	3	2
в этом случае	6	2
языка то есть	2	2
хотя бы и	2	3
и т п	33	23
с одной стороны	5	4
и т д	2	5
как мы сказали	2	4
в отношении к	4	6
к чужому слову	2	4
более или менее	2	3
то же время	4	12
до сих пор	2	2
и в особенности	2	4
