3gram	Berdyaev_MirosozercanieDostoevskogo_partition_part1_wordlist_3gram	Berdyaev_MirosozercanieDostoevskogo_partition_part2_wordlist_3gram
и подобие божие	2	2
образ и подобие	5	2
а не в	2	4
на этом пути	2	2
для того чтобы	4	2
все творчество достоевского	2	4
в братьях карамазовых	2	3
свободу человеческого духа	2	3
обращен к грядущему	2	2
в этом он	2	2
должно привести к	2	2
в дневнике писателя	2	2
по отношению к	2	2
свобода переходит в	4	5
путь страдания и	2	2
в свою противоположность	2	2
о великом инквизиторе	2	4
у достоевского нет	2	4
добра и зла	5	4
в высшей степени	3	2
своеволия и самоутверждения	2	2
у достоевского есть	3	5
мы увидим что	2	3
не может быть	8	17
это и есть	3	4
в творчестве достоевского	3	4
испытание человеческой свободы	2	3
до сих пор	3	2
человеческой природы в	2	3
