3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram
на то что	3	4
по сравнению с	5	14
не в состоянии	2	2
для того чтобы	15	8
вместо того чтобы	2	2
в сущности говоря	2	4
в зависимости от	2	5
одной и той	2	3
друг с другом	4	5
заключается в том	6	5
то время как	4	5
скажем только что	2	2
и тем самым	3	5
на этот вопрос	2	2
именно в этом	2	2
мы могли бы	5	9
по отношению к	7	10
в том что	15	19
к тому что	3	7
может быть выражена	2	2
в то время	5	6
от того что	2	6
вместе с тем	5	2
в этом отношении	4	3
в первую очередь	3	3
с точки зрения	18	10
с самого начала	8	7
и той же	2	3
из того что	5	3
в этом вопросе	3	2
независимо от того	2	2
то же самое	3	6
так же точно	9	3
бы сказать что	2	2
можно сказать что	4	6
нам думается что	5	5
с другой стороны	9	2
можно было бы	3	5
мы не станем	4	2
в школьном возрасте	3	8
не может быть	5	2
так же как	5	6
развития научных понятий	2	5
до сих пор	4	3
могли бы сказать	2	2
при переходе от	2	5
