3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram
в бесконечный ряд	7	14
в чистом виде	2	2
хотя и не	2	2
и только в	2	2
в каком случае	2	3
в том виде	2	2
на самом деле	2	3
заключается в том	3	2
дело не в	2	2
то время как	4	2
но никак не	3	2
в сравнении с	2	2
символ отличается от	2	2
не есть ни	3	2
или по крайней	4	2
того или иного	3	3
самом же деле	4	2
не имеет ничего	3	2
с другой стороны	5	6
можно было бы	3	4
потому что он	4	2
есть не что	4	2
взятый сам по	2	2
то есть в	3	6
на самом же	4	2
это и не	3	2
о том что	3	3
здесь не в	3	2
как будто бы	3	2
не что иное	4	2
подпадающих под него	2	2
в то время	4	2
не только в	2	4
уж во всяком	3	2
в то же	4	2
содержит в себе	3	8
сами по себе	6	2
мы не будем	2	2
тем не менее	10	10
имеет ничего общего	3	2
ничего общего с	2	2
здесь перед нами	2	5
в связи с	7	3
точно так же	3	3
у нас выше	2	3
но даже и	4	4
вовсе не есть	8	2
мы должны сказать	3	2
только при помощи	2	2
только и можно	2	3
той или другой	4	3
во всяком случае	6	4
же самое время	4	2
сам по себе	6	6
сама по себе	8	2
тех или иных	4	3
а то что	2	2
и в частности	2	2
в том что	9	8
необходимо сказать что	2	3
разлагается в бесконечный	2	2
ни в каком	4	5
в том или	2	2
это значит что	2	7
с точки зрения	2	11
том виде как	2	2
и тем не	3	3
в данном случае	7	5
и ни в	2	3
и тем более	2	2
или иной мере	2	3
той или иной	8	11
вовсе не является	2	2
все такого рода	2	2
по своему содержанию	2	5
в той или	2	7
чем же в	2	2
по крайней мере	5	6
и больше ничего	2	2
даже и не	4	2
то же самое	7	6
в нашем смысле	2	10
и т д	13	3
в том смысле	3	2
что иное как	4	2
всякий символ есть	2	4
