3gram	Losev_DialektikaMifa_partition_part1_wordlist_3gram	Losev_DialektikaMifa_partition_part3_wordlist_3gram
одно и то	2	4
той или иной	2	3
на то что	3	4
во всяком случае	2	2
но это –	2	3
я не буду	3	3
о том что	5	2
что не есть	2	2
сам по себе	5	6
если иметь в	2	2
сама по себе	4	8
случае не есть	2	2
ничего не говорит	3	4
по крайней мере	5	4
значит что он	4	3
то это значит	4	2
в том что	3	7
к тому что	2	2
не есть ни	3	6
ни в каком	3	8
но что такое	4	2
и в этом	2	3
д и т	5	2
миф сам по	2	2
это значит что	21	9
с точки зрения	14	12
иметь в виду	2	3
ровно ничего не	3	3
с другой стороны	2	4
само по себе	5	5
с одной стороны	3	2
что он –	3	5
т д и	6	2
и т д	23	19
не есть бытие	2	2
точно так же	2	2
что миф –	2	2
не может быть	6	3
это и есть	2	2
что миф есть	3	3
я утверждаю что	4	4
и то же	2	4
миф не есть	5	11
