2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram
связи с	9	4
наряду с	3	2
никогда не	4	4
их развития	2	2
так же	17	14
к тому	4	7
перед нами	10	2
для нас	2	2
по сравнению	4	9
у ребенка	19	9
с этим	4	2
что слово	4	2
самого начала	6	7
едва ли	2	4
точки зрения	6	28
того как	3	2
значения и	5	3
экспериментальное исследование	3	2
что они	10	10
в целом	13	5
как бы	10	6
что в	17	12
и речь	4	3
отличается от	3	3
одного из	2	2
той же	4	8
нас к	2	6
с другими	2	3
было бы	10	6
но всегда	2	2
смысле этого	4	3
таким образом	17	23
а в	4	2
по этому	3	4
когда ребенок	2	2
только потому	2	3
речь в	2	4
в эксперименте	4	2
но только	3	3
отношению к	2	5
что эти	3	3
как она	3	5
и другое	5	3
с помощью	42	13
этого метода	3	2
в себе	2	9
которые в	3	2
является не	2	2
только в	10	8
имеет место	3	4
речевого развития	2	2
в структуру	4	2
и которые	3	2
сравнению с	3	8
школьного возраста	3	8
и его	2	12
и только	2	4
функциональное значение	5	3
собственном смысле	6	3
речевого мышления	5	7
не может	6	11
он не	4	3
могли бы	11	5
не есть	3	4
значения слова	2	9
по себе	7	3
со всеми	6	2
что по	2	2
тем что	8	9
и заключается	2	3
связи между	5	5
в котором	3	4
слова в	2	5
в том	23	18
эти момента	2	2
в другую	2	3
структурном отношении	2	3
все же	6	6
приводит к	4	4
между двумя	2	3
для ребенка	10	2
что это	5	6
его в	3	2
так и	5	3
об этом	2	3
является в	3	5
и в	25	26
не можем	3	4
вместе с	14	12
оба эти	3	5
в качестве	12	5
все это	6	3
то в	3	2
с внутренней	2	5
уже в	7	2
что мы	7	9
в центр	2	2
все что	2	6
между мышлением	3	3
что он	6	8
столь же	7	2
показывает что	8	2
с несомненностью	3	2
с тем	16	5
детской речи	6	4
мы говорили	4	2
в этом	14	29
должно быть	2	2
мы и	2	2
в мышлении	11	2
еще не	4	4
в то	4	3
этой точки	2	4
речевое мышление	2	2
в самом	3	9
на основании	11	2
речь не	2	5
мышления и	23	9
отличие от	6	2
к выводу	2	3
то и	4	4
это положение	2	3
связь между	4	6
значение в	3	2
и не	10	18
речи для	2	25
находит свое	2	3
известном смысле	2	2
функции и	2	4
мы можем	7	3
состоит в	3	3
с самого	6	7
из основных	3	2
бы в	2	5
но и	4	11
того чтобы	8	19
ребенка и	17	8
для того	7	18
где они	2	2
потому что	6	16
в собственном	6	3
в пользу	5	4
ассоциативных связей	3	2
которых мы	2	2
слова и	6	10
что ребенок	7	5
к другому	2	3
в его	15	4
бы сказать	3	2
одним из	5	2
с ним	4	3
и речи	20	19
тем самым	2	8
ребенка с	3	4
в своих	2	2
были бы	3	3
исторического развития	2	3
в функциональном	10	4
же как	6	8
мы не	9	7
одной и	2	2
этого слова	4	3
из которых	5	2
к изучению	2	3
речь становится	5	2
в последнее	3	2
по отношению	3	6
в детском	4	3
или в	2	2
в начале	2	5
следовательно не	2	2
представляется в	2	2
в какой	4	6
значения слов	5	3
это мы	2	2
мы в	2	3
в нем	2	2
можно было	6	2
что она	5	8
в своей	2	3
в свете	2	4
прежде всего	4	7
но это	5	3
своему строению	2	6
но не	6	3
речи не	2	5
если бы	5	5
если в	3	4
для него	5	3
именно в	5	6
что оно	4	4
психологической природе	2	4
и мышление	2	2
говорили выше	2	2
что с	4	5
так что	2	4
развития в	2	3
во всем	3	3
представляет собой	6	19
и их	3	5
между ними	3	3
мы остановимся	2	3
можно ли	2	2
не мог	4	2
с которыми	3	2
с одной	5	5
совпадает с	6	3
из того	2	3
и для	2	5
детского мышления	8	4
в речи	2	5
тем же	4	5
и той	2	2
последнее время	3	3
как известно	3	2
не представляет	2	2
одним и	2	2
по своему	11	9
если мы	3	5
друг с	5	2
тогда когда	4	5
с необходимостью	2	2
мышление и	5	2
мы видим	3	3
находится в	2	2
между собой	13	6
внутренней речи	19	67
приводит нас	3	3
мы должны	6	6
не является	8	3
для этого	2	3
речи и	8	30
в этих	2	2
то что	15	24
мы видели	6	3
в области	7	4
с другом	5	2
и здесь	2	2
с этой	3	5
как говорит	5	5
заключается в	9	6
не только	6	24
мышления от	3	2
том что	20	17
могут быть	5	2
мы могли	9	6
речи но	2	11
к внутренней	2	6
который мы	2	2
отношения между	5	4
во всяком	4	2
мышления мы	3	3
на котором	2	3
этом и	2	2
внутренняя речь	5	15
ассоциативная связь	5	3
речи как	4	6
внутренней речью	3	8
и от	2	4
друг друга	4	4
того и	2	2
от одного	2	2
сказать что	4	8
мы уже	5	3
процесса как	2	2
из этих	4	3
внешней речи	6	18
как на	2	6
речи в	4	27
нами в	2	4
в процессе	27	5
в силу	6	5
на деле	3	2
процесс развития	2	2
остановиться на	3	2
в свою	3	2
моментов в	2	2
входит в	5	2
и потому	2	3
от нее	4	2
и слово	3	3
у взрослого	3	2
ребенка как	3	2
в живом	3	3
того что	10	14
слов и	5	2
в отношении	6	2
не менее	6	4
в чем	2	3
мог бы	4	3
тем не	5	3
то же	2	8
к этому	3	2
в которых	3	2
эгоцентрическая речь	4	28
выводу что	4	2
так как	12	14
же точно	3	3
с ней	3	2
бы с	2	2
речи ребенка	4	10
в известном	4	2
и вместе	2	2
психологической природы	2	5
на то	4	4
как мы	8	14
все эти	7	6
показывают что	5	2
его к	3	2
не могут	4	4
как это	7	5
а по	2	2
внимание на	2	2
не в	6	4
ребенка к	2	2
может быть	13	7
ни в	9	2
мы знаем	4	2
о том	5	4
и во	2	4
в этой	5	3
и к	5	7
своей психологической	2	3
этом отношении	3	3
свою очередь	2	2
возраста и	3	2
в года	2	3
от речи	3	8
то время	4	2
функциональном и	2	3
что и	10	3
как в	9	4
как и	15	15
в развитии	24	10
благодаря этому	6	2
один из	6	2
понятий и	7	2
развитии мышления	7	2
и то	2	7
основной и	2	2
понятия но	3	2
и другого	2	2
в случае	3	2
речь и	4	5
и других	2	2
речи есть	2	3
в основном	6	3
тому что	2	9
значение слова	4	13
с ее	5	2
по своей	7	10
в отличие	6	2
только что	2	5
в основе	16	3
одной стороны	5	5
мышления это	2	2
и что	10	6
в смысле	4	6
на его	2	2
с другой	6	4
от внешней	3	6
время как	4	2
и по	5	3
