2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram
между тем	5	5
как эстетической	2	2
мы имеем	6	5
далеко не	6	4
всего лишь	4	8
в рамках	3	3
из этих	2	3
никогда не	2	5
в свое	2	2
в нем	3	2
и того	5	3
в новом	2	2
несмотря на	2	2
так и	4	14
это не	6	2
с точки	4	2
прежде всего	6	5
со стороны	2	9
в данном	2	4
и в	18	18
но не	10	7
не будет	3	3
имеем дело	4	4
более чем	4	2
не случайно	3	8
вместе с	4	2
то есть	11	10
если в	3	3
к тому	7	6
в качестве	31	12
данном случае	2	3
для него	2	6
в принципе	8	2
здесь не	2	3
именно в	4	3
другой стороны	2	5
то в	2	2
при этом	12	11
как к	2	2
и потому	2	2
целого в	4	2
подобно тому	3	3
однако в	3	5
и как	5	4
что мы	3	2
произведении искусства	3	2
едва ли	2	3
точки зрения	6	3
сводится к	5	2
отношения к	2	2
себя в	6	4
что он	3	4
тому как	3	2
столь же	4	4
нуждается в	8	2
дело с	4	3
вступает в	3	3
мысль о	2	3
то же	9	3
в целом	5	3
целого как	2	2
а также	3	2
как бы	5	10
в противоположность	2	2
представляет собой	16	5
что в	5	9
уже не	4	5
в этом	13	14
эстетического объекта	11	2
роль в	2	3
данного текста	2	2
не всегда	4	3
лишь в	5	5
того же	4	5
с одной	3	2
художественной реальности	14	3
и рецептивная	2	2
той же	2	5
в их	5	6
в мире	8	5
могла бы	3	2
еще не	3	6
в то	9	3
личности в	3	3
было бы	2	3
как уже	2	2
в самом	6	5
и самого	2	6
отличие от	6	2
таким образом	3	4
а напротив	2	2
а в	9	10
на наш	6	2
своего рода	3	8
тогда как	14	20
и т.п	5	5
все эти	2	2
не столько	2	3
в культуре	3	2
не в	14	6
такого рода	5	5
отношению к	5	7
и не	21	12
может быть	29	9
в произведении	5	3
даже в	3	2
в себя	6	2
как правило	4	5
произведения как	7	2
в первом	2	2
одного и	2	3
и все	3	2
состоит в	11	4
о том	5	6
в этой	5	6
воспринимающего сознания	5	3
художественного высказывания	2	2
я и	6	3
и к	3	4
на примере	2	2
в себе	11	2
самого произведения	2	2
наш взгляд	6	2
этом отношении	2	3
не с	4	2
в составе	2	2
только в	6	2
но и	17	13
что не	3	3
не является	2	5
научной идентификации	2	3
дело не	3	3
само произведение	2	2
текста в	12	6
коммуникативного события	14	11
не более	4	2
и сам	2	4
не предполагает	2	2
что и	3	5
вопроса о	3	2
или иной	6	5
мере в	3	2
в искусстве	2	2
то что	6	2
как и	13	14
произведение искусства	9	4
как справедливо	3	2
этого текста	2	4
один из	2	2
только не	2	3
и его	5	13
можно читать	2	2
самом деле	2	2
я в	3	5
он не	3	6
не может	22	2
могли бы	2	2
эстетического отношения	8	3
в его	13	7
как говорит	2	3
не есть	8	4
в той	8	2
с его	3	8
восходящая к	2	3
художественного целого	10	6
по себе	4	4
не только	15	22
можно сказать	2	4
человеческого я	2	2
том что	12	12
этом ряду	2	2
тем самым	7	4
отнюдь не	15	4
говорит и	2	3
на себя	2	2
жизненной позиции	2	2
свое время	2	2
могут быть	4	2
в случае	6	5
той или	6	3
субъекта и	4	2
а не	17	9
этого слова	7	2
в конечном	4	2
же время	6	3
и на	5	4
к тексту	2	2
в тексте	5	9
который в	2	3
в отличие	6	2
есть не	8	2
по своей	6	2
в противовес	2	2
по отношению	6	7
не должен	2	2
в начале	2	6
тому же	4	3
одной стороны	3	2
в том	27	9
иначе говоря	9	2
но в	8	2
на его	2	2
с другой	4	7
конечном счете	4	2
в сущности	6	5
и по	2	2
в пределах	2	4
все же	4	4
в частности	19	12
