3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram
эгоцентрическая речь ребенка	7	4
развитии мышления и	2	2
детской речи и	2	2
эгоцентрической речи ребенка	6	2
в развитии мышления	6	4
на то что	3	6
во всяком случае	3	6
по сравнению с	5	5
для того чтобы	15	10
в собственном смысле	5	3
особенности детского мышления	2	3
о том что	6	4
в зависимости от	2	6
смысле этого слова	3	3
с таким образом	3	3
друг с другом	4	2
в другом месте	6	2
заключается в том	6	7
мышлением и речью	2	5
в теории пиаже	3	5
на этот вопрос	2	5
на всем протяжении	2	2
речь идет о	2	2
мы могли бы	5	4
по отношению к	7	5
мышление и речь	2	2
об эгоцентрической речи	3	2
в том что	15	21
сам с собой	2	2
мышления и речи	31	9
в этом отношении	4	3
что эгоцентрическая речь	10	3
пиаже полагает что	2	2
в самом деле	2	4
речи и мышления	9	3
на вопрос о	2	2
с точки зрения	18	18
является то что	2	2
из того что	5	4
как уже сказано	6	2
то же самое	3	2
мы не хотим	2	2
развитии детского мышления	2	5
по существу дела	2	2
в данном случае	2	3
только тогда когда	2	2
том что в	2	2
нам думается что	5	2
в высшей степени	4	7
можно было бы	3	5
а с другой	2	4
мы не станем	4	2
детского мышления как	2	2
между мышлением и	2	5
с одной стороны	8	7
друг от друга	3	2
не может быть	5	6
в развитии детского	2	5
в пользу того	3	2
в том чтобы	3	4
развития детского мышления	2	7
