2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram	Losev_DialektikaMifa_partition_part2_wordlist_2gram
или не	2	4
никогда не	9	2
так же	2	4
в меру	4	5
оно есть	3	4
в данном	3	3
и та	6	3
того или	2	2
перед нами	2	6
та или	2	3
или другим	2	2
в результате	2	6
с этим	3	3
– не	9	5
и как	10	4
точки зрения	12	14
далее в	2	2
того как	2	2
стало быть	10	15
мы получаем	2	2
есть и	6	3
что они	6	4
как бы	14	14
что в	7	7
уже не	3	9
– совершенно	3	4
в жизни	2	5
ни с	4	4
– это	6	5
мифа и	4	6
и уже	3	4
кроме того	3	2
но как	5	2
тех или	2	4
есть ни	6	9
было бы	3	9
таким образом	4	5
что если	3	3
это –	23	25
миф не	22	8
что я	2	5
только потому	2	3
жизни и	6	4
как таковой	4	5
но только	3	5
может только	2	2
конечно не	6	2
тут не	3	2
как нечто	4	2
в себе	15	8
и тогда	3	2
что здесь	2	3
только в	5	7
личность и	2	3
от этого	3	3
как не	2	2
жизнь и	5	2
смысла и	2	3
и –	4	9
вы не	2	3
все на	4	3
что миф	5	5
и это	5	8
что этот	3	2
личности и	6	10
и его	5	7
и только	4	2
тут тоже	2	2
не может	9	11
но что	7	5
не есть	47	40
говоря уже	2	3
и если	4	3
по себе	18	13
как только	3	5
миф и	2	3
– в	8	15
что по	2	2
может и	2	2
смысл и	2	3
тем что	2	2
субъекта и	4	5
же время	5	6
собственно говоря	2	2
и следовательно	5	3
или других	2	3
быть без	2	2
и бытия	3	3
в том	14	11
но в	2	3
– то	2	3
все равно	5	2
все же	4	2
в частности	2	2
мы имеем	3	5
как будто	7	2
что это	10	13
и при	2	2
так и	10	5
об этом	3	3
есть религия	3	4
но –	5	8
с точки	8	9
в ее	4	2
говорить о	5	11
между мифологией	5	2
и в	19	15
не будет	2	2
вместе с	2	2
она не	8	4
миф есть	6	10
другой стороны	4	2
все это	4	9
при этом	4	2
и с	5	4
да и	6	2
что мы	2	7
же есть	2	3
же и	9	2
что он	6	7
не раз	2	2
также и	2	4
самоутверждение личности	8	2
только тогда	7	5
с тем	2	4
бы только	2	4
в этом	8	11
должно быть	7	2
от всего	2	3
в мифе	16	6
это есть	8	13
бы ни	2	2
в их	2	3
но мы	2	2
еще не	4	4
в то	6	6
т е	30	46
что иное	3	8
как раз	5	4
в самом	5	2
это и	3	9
или нет	3	3
ее в	2	2
это все	2	2
во всех	2	2
и часто	2	2
себе и	3	2
и не	30	30
за пределы	4	3
вещи и	3	2
в вечности	6	5
в виде	2	3
и из	3	2
в одном	4	4
это значит	8	8
не как	2	4
совершенно не	7	3
– мы	3	5
как же	3	5
мы только	2	2
не просто	12	7
ни на	2	6
и когда	4	2
но и	12	4
не по	2	2
что тут	4	7
что личность	2	2
потому что	14	10
в которой	2	2
только не	2	3
понятие мифа	2	3
или иначе	2	2
в целях	3	2
с ними	2	4
с ним	4	3
можно сказать	5	5
личности но	2	3
жизнь личности	2	2
в каком	4	5
личности а	2	2
в ней	2	5
и идеи	2	2
в сфере	2	5
не было	3	2
поэтический образ	7	3
быть в	4	5
или в	2	7
что на	2	2
или вообще	3	3
если вы	2	5
об ее	2	2
в некоем	2	2
интеллигенции и	4	2
же это	4	5
тем или	2	2
что такое	3	5
в нем	10	5
в своей	8	3
что она	14	5
это не	10	12
прежде всего	8	11
но это	7	4
можно только	2	3
и т	17	17
– и	3	4
именно в	2	5
что оно	4	7
я уже	2	3
по крайней	9	7
человека и	2	2
иметь в	2	2
он всегда	2	2
алогическое становление	4	2
себя в	2	2
так чтобы	2	3
что с	2	2
есть просто	3	6
так что	7	6
есть мифология	2	3
на этом	2	3
не мешает	5	2
и искусство	2	2
и их	3	2
но о	2	2
и притом	7	3
совершенно невозможно	2	2
личность есть	11	7
должна быть	5	7
тут –	7	2
тут мы	2	2
нисколько не	4	2
личности в	8	5
нет никакого	2	3
быть и	4	3
на свете	5	4
или иное	4	3
а именно	5	6
вопрос о	3	2
нет ни	3	3
есть всегда	11	3
иной раз	5	3
или по	2	4
если мы	2	5
должны быть	3	4
тогда когда	6	5
есть специально	2	3
мы видим	2	4
значит что	12	9
– все	2	3
в разных	3	2
я не	6	5
иное как	3	8
мы должны	2	4
во внимание	3	2
что не	6	3
не что	3	8
миф –	2	3
оно –	2	3
в истории	2	3
что же	2	2
то что	14	16
если она	2	2
между собою	3	2
это как	3	2
в области	2	3
том как	2	2
и пр	5	9
это было	3	2
ни вообще	2	2
– личность	2	2
мифология –	2	2
заключается в	4	2
не только	19	8
том что	10	10
и религии	3	3
или другой	3	3
могут быть	4	3
от того	4	2
эти два	2	2
а не	16	18
той или	4	4
и даже	14	6
мы находим	3	2
думаю что	3	2
или иная	2	2
и стало	5	4
пределы мира	2	2
само по	2	4
он есть	3	7
есть только	4	3
во всяком	2	2
сама по	7	5
ни о	2	3
себе не	3	2
время есть	6	2
ничего не	3	17
мифологии и	7	8
в сущности	2	5
сказать что	10	6
мы уже	8	3
и может	6	2
сам по	3	2
будет ли	2	3
есть в	2	4
д и	2	3
есть нечто	8	2
думают что	2	2
в силу	5	4
мифология и	3	2
и потому	5	3
и есть	4	19
того что	6	13
не менее	3	2
в чем	3	8
в своем	4	5
она –	8	4
тем не	2	2
то же	12	9
на все	2	2
и нет	2	3
в противоположность	2	2
мы начинаем	2	2
время и	2	2
то или	4	3
не значит	3	2
и вообще	6	7
так как	14	14
и мы	3	7
мы говорим	3	2
как миф	3	2
вовсе не	13	6
имеется в	2	3
без всякого	4	2
все эти	2	3
не могут	4	2
и можно	2	5
как это	7	2
не в	8	8
становление и	4	2
сознания и	5	3
но все	2	2
всегда есть	2	2
может быть	20	17
ни в	10	8
и все	12	11
в одну	5	3
о том	5	5
в этой	3	4
е в	3	2
только о	2	3
что уже	2	2
из них	3	2
что и	5	6
как в	2	3
как и	10	7
т д	15	15
ясно что	4	11
она есть	9	10
что есть	2	2
крайней мере	9	7
и то	7	3
миф как	4	3
та же	4	3
отнюдь не	6	4
не говоря	2	3
в виду	5	9
мифологией и	6	2
личность как	2	4
бы и	2	3
и объекта	4	5
идея и	2	3
есть не	7	5
с ее	2	10
только что	5	2
необходимо чтобы	2	2
хотя бы	4	4
– как	2	5
и тут	3	3
в один	3	3
об этой	2	2
уже о	2	4
и что	5	9
в смысле	5	5
и вот	4	11
и по	4	2
