2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_2gram
связи с	3	9
значением слова	3	3
интеллектуальных операций	3	4
отдельных конкретных	2	2
наряду с	3	3
формы мышления	3	7
никогда не	5	4
их развития	5	2
так же	11	17
человека мы	2	2
тому или	2	2
и мышления	3	2
в комплекс	6	4
что процесс	2	2
в своеобразном	2	2
и понятие	3	2
к тому	6	4
перед нами	5	10
для нас	4	2
он имеет	2	2
по сравнению	4	4
у ребенка	13	19
в результате	8	3
с этим	5	4
переход от	2	3
и как	9	5
что слово	2	4
с понятиями	2	4
пути развития	5	3
едва ли	2	2
точки зрения	24	6
того как	2	3
экспериментальное исследование	2	3
образовании понятий	5	5
что они	14	10
в целом	11	13
как бы	7	10
мы называем	2	2
что в	19	17
своеобразном сочетании	2	2
отличается от	2	3
этом смысле	8	2
но как	2	3
той же	6	4
образования понятий	19	45
что развитие	6	3
для развития	2	3
нас к	3	2
от понятия	2	3
и у	2	6
в него	2	3
было бы	8	10
смысле этого	7	4
образовании понятия	2	2
таким образом	25	17
переходном возрасте	3	9
а в	2	4
мышления с	4	2
в экспериментальных	2	4
высшей степени	2	6
когда ребенок	2	2
и т.д	2	5
общего к	2	3
приходит к	3	6
предметов в	2	3
в эксперименте	3	4
основе их	3	4
что эти	2	3
ребенка мы	3	2
предметов и	2	4
образом что	4	2
с помощью	31	42
в связи	3	6
в себе	10	2
которые в	4	3
является не	4	2
только в	10	10
помощью которого	2	2
для образования	3	3
и которые	2	3
сравнению с	3	3
интеллектуальной деятельности	2	7
школьного возраста	2	3
и это	2	4
и его	5	2
и только	4	2
ребенка в	4	12
функциональное значение	2	5
собственном смысле	7	6
не может	6	6
могли бы	9	11
понятий у	2	5
не есть	2	3
значения слова	8	2
интересующей нас	4	2
со всеми	3	6
экспериментального исследования	3	2
понятий не	3	2
тем что	7	8
мышлением в	4	4
экспериментального анализа	7	3
как показывает	2	2
том виде	2	2
слова в	9	2
в том	42	23
понятий но	3	4
в другую	3	2
все же	5	6
в совершенно	3	2
в экспериментальном	2	4
приводит к	3	4
в частности	5	4
к одному	6	5
между двумя	2	2
мы имеем	2	4
для ребенка	2	10
к мышлению	5	3
что это	2	5
его в	6	3
так и	5	5
очень часто	2	2
является в	3	3
и в	20	25
целом мы	2	2
вместе с	8	14
помощью речи	2	2
в качестве	21	12
понятия в	8	7
как оно	2	3
другой стороны	9	3
при этом	12	5
понятий на	4	2
имели возможность	2	4
со всей	2	2
уже в	6	7
к которому	3	3
что мы	7	7
тому как	2	2
что он	6	6
столь же	3	7
показывает что	2	8
на первый	4	2
понятие возникает	6	2
с тем	6	16
место в	2	2
детской речи	2	6
по пути	2	4
мы говорили	3	4
развития поведения	2	2
отдельных элементов	3	3
в этом	24	14
понятий ребенка	4	2
должно быть	3	2
мы и	2	2
в мышлении	21	11
еще не	2	4
этой точки	4	2
как уже	4	6
процессе образования	2	7
в самом	6	3
мышления и	14	23
отличие от	2	6
к выводу	2	2
по типу	2	5
которые не	2	4
форм мышления	2	2
его развитии	2	2
предметы в	3	2
