2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_2gram
большей частью	2	3
представлений о	3	2
мы имеем	13	7
связи с	4	3
относится к	2	3
и этим	2	2
еще один	2	2
наряду с	3	3
никогда не	14	2
что это	8	2
своего отца	2	3
так же	7	18
в нем	2	2
видели что	3	3
не на	2	3
его в	6	9
так и	9	10
об этом	4	7
что она	5	3
это не	7	5
в лесу	8	12
в свете	2	3
но это	4	3
в форме	3	2
в точности	2	5
в современной	3	2
и он	3	3
и в	28	26
одна из	2	2
в брак	2	2
но не	5	5
в русской	2	3
стоит на	2	2
вместе с	6	6
если бы	8	2
в немецкой	2	2
в силу	5	5
этих случаях	2	8
этот момент	2	2
сказке в	3	2
герой хочет	2	2
в качестве	5	7
перед нами	3	3
и т	25	27
сказка не	5	2
тут и	2	2
для нас	13	3
должен был	3	3
здесь не	4	4
другой стороны	5	4
все это	4	2
при этом	3	3
живет в	2	2
связь с	4	12
ему в	3	2
этот вопрос	7	2
в царство	7	2
и другие	4	3
с этим	4	2
и с	4	5
что герой	9	2
однако в	2	2
по его	2	2
со сказкой	4	2
и как	2	5
что мы	7	3
того что	4	2
предположение что	2	2
того как	3	4
волшебное средство	3	9
себя в	2	2
же самое	3	2
не дает	2	2
начинается с	3	2
не менее	6	2
что он	10	10
показывает что	3	10
так что	4	2
в своем	5	2
или на	3	2
тем не	6	2
здесь можно	2	2
в иной	4	6
с тем	4	2
что они	5	6
во всем	3	3
и тот	2	2
в целом	2	2
то же	12	8
на этом	3	2
к этому	2	5
как бы	2	3
и их	3	2
представляет собой	4	2
в иное	4	7
между ними	2	3
что в	12	14
попасть в	3	2
в руки	3	3
уже не	3	5
то здесь	2	2
сих пор	5	5
в этом	8	7
представления о	3	3
его и	2	2
видим что	9	2
в мифе	2	2
не всегда	8	6
в некотором	2	2
должна быть	5	2
в обряде	3	2
нет необходимости	2	3
к сказке	3	4
героя в	5	7
эту связь	2	4
всякого рода	2	3
он в	2	4
этого мотива	2	3
но мы	2	3
еще не	7	6
связанные с	2	3
т е	10	18
так как	6	9
в тех	2	4
ни одной	2	2
было бы	7	2
в могилу	2	2
другими словами	4	2
к своему	2	3
с того	3	3
и др	7	5
таким образом	8	10
а в	7	8
случаи когда	3	2
до сих	5	5
на то	4	3
сказке и	2	2
а именно	4	3
вопрос о	5	4
как мы	3	5
вовсе не	2	4
представляют собой	6	4
все эти	4	3
например в	5	3
ж ст	2	2
на вопрос	2	3
установить что	4	2
к ним	4	2
не могут	2	2
показывают что	5	2
в лес	8	3
точно так	3	5
в некоторых	2	5
как это	3	3
а по	2	4
дает сказка	2	2
не в	9	5
в аид	3	2
связь между	3	2
так например	6	2
но все	4	5
мы видим	11	6
и не	9	9
может быть	25	14
даже в	4	4
а сам	2	2
на него	4	3
в виде	2	2
только с	2	2
мы знаем	4	8
конечно не	2	2
в одном	5	5
о том	9	4
так в	4	4
в этой	6	2
их не	2	2
при помощи	2	10
по существу	5	3
обряда посвящения	2	5
в связи	4	2
в тридесятое	2	4
в себе	2	2
мы должны	13	5
что здесь	5	7
только в	11	3
не просто	3	4
но и	10	12
в другом	3	5
мы здесь	3	2
в дальнейшем	5	6
дело не	5	2
не по	2	2
из них	3	2
как он	2	6
в этих	7	7
выше мы	3	2
в доме	2	4
то мы	4	2
что и	6	9
как в	2	7
то что	9	16
как и	4	7
увидим что	5	2
мы видели	2	6
мы увидим	10	3
потому что	4	6
в американских	2	2
т д	22	24
право на	2	2
в исторической	6	2
в особенности	2	2
в области	2	2
том как	2	2
и здесь	7	5
что этот	2	4
он должен	2	3
говорит о	2	2
поставить вопрос	2	2
это для	2	3
и пр	4	11
и его	3	10
и только	2	5
когда он	6	6
не может	15	6
он не	2	7
русской сказке	2	4
в его	5	5
в образе	3	3
не есть	2	2
и если	2	3
не только	12	15
по себе	3	2
том что	7	3
леса в	2	2
а затем	2	3
на этот	2	2
и тем	2	2
во время	3	7
этот материал	3	2
могут быть	4	6
попадает в	5	3
тем что	3	5
а не	15	6
же как	2	13
раньше чем	4	5
и даже	4	4
из которых	3	5
указывает на	2	4
их в	5	7
бы мы	2	2
это происходит	2	2
то это	3	5
на это	2	2
т д.<неи	2	3
и на	4	2
есть только	3	3
с той	2	2
таких случаях	2	2
по своей	2	2
его как	2	2
немецкой сказке	2	2
хотя бы	4	2
или в	5	3
видно по	2	2
ничего не	2	5
на котором	3	3
иной мир	3	6
это приводит	2	3
сказка знает	2	2
там где	4	3
превращается в	4	7
в том	9	3
иное царство	6	6
но в	8	5
в таких	2	2
здесь мы	7	2
сказке не	2	4
в сказке	44	47
и что	10	5
с другой	6	4
и вот	2	2
и по	3	5
сказать что	5	2
все же	10	9
в частности	2	2
