3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram
смысле этого слова	7	4
тому или иному	2	2
комплексного мышления ребенка	2	3
комплексного мышления в	2	2
на то что	4	3
в свою очередь	2	2
во всяком случае	3	4
по сравнению с	3	3
для того чтобы	5	7
в готовом виде	5	2
в собственном смысле	7	6
о том что	3	3
по внешнему виду	2	3
в целом мы	2	2
в своеобразном сочетании	2	2
ступень в развитии	3	6
в отличие от	2	6
к выводу что	2	2
в том виде	2	2
и то что	4	2
ряда конкретных предметов	2	2
формы комплексного мышления	4	2
одной и той	4	2
могли бы сказать	2	3
же как и	4	4
друг с другом	7	5
заключается в том	14	7
общего к частному	2	3
процесс образования понятий	6	9
и в отношении	2	2
мышления в понятиях	5	7
с помощью которого	2	2
в детском возрасте	2	2
только в том	2	2
в его развитии	2	2
в том что	31	17
как мы видели	2	3
как мы уже	3	2
мы могли бы	9	7
вместе с тем	3	10
в основе этого	2	2
процесса образования понятий	5	14
в этом отношении	7	3
в образовании понятия	2	2
с этой точки	4	2
мы уже говорили	2	5
в качестве средства	2	4
в переходном возрасте	3	9
это значит что	2	4
с тем что	3	3
в образовании понятий	4	2
и той же	4	2
в процессе образования	2	7
как уже сказано	4	5
бы сказать что	3	3
этой точки зрения	4	2
между ребенком и	2	2
мы имели возможность	2	4
и того же	5	4
с другой стороны	8	3
собственном смысле этого	4	4
в высшей степени	2	6
можно было бы	5	5
а с другой	2	3
в мышлении ребенка	6	4
с помощью речи	2	2
таким образом что	4	2
то обстоятельство что	3	3
с одной стороны	9	5
в развитии понятий	2	3
от мышления в	2	3
функционального употребления слова	2	2
на первый план	4	2
в связи с	3	5
и в мышлении	2	2
мышлением в понятиях	3	2
в этом смысле	8	2
так же как	5	6
развития детского мышления	10	2
одного и того	5	4
мы видели что	2	3
состоит в том	3	3
