2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_2gram
большей частью	2	2
не так	2	2
представлений о	7	3
мы имеем	14	13
и этим	5	2
относится к	2	2
о смерти	9	6
наряду с	3	3
никогда не	13	14
как будто	3	4
что это	2	8
так же	2	7
так часто	2	2
в нем	8	2
видели что	3	3
можно было	2	5
из этого	3	2
так и	5	9
его в	5	6
что она	3	5
это не	4	7
прежде всего	4	10
но это	4	4
в форме	2	3
и он	4	3
со стороны	3	2
очень часто	5	3
и в	26	28
одна из	2	2
но не	2	5
зависимости от	2	2
в русской	6	2
стоит на	2	2
вместе с	8	6
если бы	3	8
утверждать что	2	3
еще в	3	2
к тому	2	6
сказке в	2	3
в качестве	3	5
и т	10	25
перед нами	2	3
ни одной	2	2
сказка не	2	5
для нас	2	13
здесь не	2	4
другой стороны	8	5
еще одну	2	2
при этом	3	3
живет в	2	2
связь с	11	4
в царство	11	7
и другие	3	4
с этим	2	4
и с	6	4
что герой	2	9
однако в	2	2
и как	2	2
что мы	2	7
сказка отражает	2	3
того что	2	4
того как	3	3
но так	3	2
что он	9	10
показывает что	3	3
так что	3	4
в своем	2	5
и эти	5	3
на первый	3	2
пока не	2	2
здесь можно	7	2
зависит от	4	2
что они	2	5
с тем	4	4
то же	5	12
к этому	3	2
как бы	4	2
в иное	5	4
представляет собой	2	4
попасть в	4	3
в руки	2	3
что в	12	12
сих пор	4	5
уже не	7	3
в этом	12	8
представления о	10	3
в мифе	4	2
не всегда	4	8
должна быть	3	5
нет необходимости	2	2
с одной	7	4
мертвых и	3	2
к сказке	2	3
героя в	2	5
здесь кроется	2	2
этого мотива	4	2
сказка очень	2	2
еще не	9	7
в то	5	3
т е	22	10
в древней	2	2
на более	3	5
они не	3	4
но мы	2	2
видно что	2	6
так как	18	6
в тех	3	2
за тридевять	3	2
было бы	2	7
же не	2	3
другими словами	3	4
к своему	3	2
и др	2	7
таким образом	12	8
есть еще	2	2
а в	3	7
нет в	3	2
эти материалы	6	2
пор мы	2	2
случаи когда	2	3
ее в	6	5
этот обряд	3	2
до сих	4	5
смерть и	2	2
за собой	5	2
на то	2	4
как мы	4	3
а именно	9	4
то и	2	2
вопрос о	3	5
неи но	2	2
вовсе не	2	2
установить что	2	4
например в	7	5
в жертву	5	2
все эти	8	4
показывают что	5	5
книги мертвых	5	2
в некоторых	2	2
точно так	2	3
как это	5	3
не в	3	9
должны быть	2	4
так например	3	6
но все	2	4
отношению к	2	3
мы видим	5	11
то он	2	2
царство мертвых	4	5
и не	10	9
даже в	2	4
и другое	2	2
может быть	11	25
на него	2	4
в виде	6	2
связано с	4	2
мы знаем	2	4
с представлениями	5	3
в одном	3	5
о том	7	9
так в	6	4
в этой	2	6
в книге	4	3
сказкой не	2	2
при помощи	3	2
где нет	2	2
в тридесятое	4	2
в себе	3	2
мы должны	2	13
которые в	2	2
вход в	4	6
только через	3	3
что здесь	3	5
только в	5	11
но и	9	10
не будем	2	5
что не	2	2
не вполне	2	2
там же	3	2
от этого	3	2
более ранних	6	3
что же	2	3
оно может	2	2
то время	3	3
как он	6	2
когда мы	2	2
в этих	2	7
что и	4	6
как в	6	2
то что	6	9
это представление	12	2
увидим что	2	5
мы видели	11	2
потому что	13	4
тридевять земель	3	2
с обрядами	2	3
т д	8	22
как и	5	4
в очень	4	2
миф о	2	2
один из	3	4
том как	3	2
что этот	2	2
представлениями о	5	3
и его	7	3
и только	3	2
когда он	3	6
материалы показывают	2	2
русская сказка	3	3
не означает	2	2
борьбы с	3	2
он не	2	2
не может	6	15
русской сказке	6	2
в его	5	5
в образе	10	3
не есть	2	2
с ним	8	2
не только	10	12
какую-то связь	2	3
том что	10	7
и тем	4	2
могут быть	3	4
попадает в	3	5
тем что	5	3
а не	2	15
здесь же	4	2
мы не	6	10
же как	3	2
из которых	3	3
должны были	2	2
в ней	5	7
их в	3	5
для фольклориста	3	3
никто не	2	2
то это	5	3
именно на	2	2
т д.<неи	2	2
и на	12	4
и миф	2	2
по отношению	2	3
это явление	2	2
в золотой	3	2
или в	3	5
первобытных народов	2	2
ничего не	2	2
на котором	3	3
иной мир	3	3
одной стороны	7	4
сел на	2	2
там где	5	4
превращается в	7	4
в том	12	9
а с	2	2
иное царство	6	6
но в	7	8
здесь мы	4	7
в сказании	3	2
что сказка	3	10
в сказке	23	44
и что	5	10
с другой	10	6
и от	3	2
и вот	3	2
время как	3	3
и по	4	3
сказать что	3	5
все же	8	10
в частности	3	2
